audio_file	reference	hypothesis
spontaneous-speech-bxk-47921.mp3	A eliwo bitima birambisyibwa nende kamani ke inchini yani kamafura aa chabawo chi chindika necho chabombile ebyo nabyo byosi bikhola biryo sikila binyala khucha mubyalo khungila chintiti esi emotoka ekhaba taa pili sekenyikhana yanyola batecha bakali neya niyarura musifwo taa wakhaba mulala nekhusuta mala yasuta nebisu bisutwa byowo	Bytimailaisanendekamaniini yani kamafuandka neuchbobienniolabio sekilainyalacamubylo nlaidti esimuokaata ili sknyika naanyolaataakali noonoarmusifuaakaamulaa nekhosua suanisab
spontaneous-speech-bxk-47928.mp3	Byakhulya byosi aa chisiku chino bichilakho nende chikemiko sikila byekhulima bikali sana bikendela khufwatilayisa nende chikemiko chekhufuyilakho chechindwale Abundi kenyikhana bulayi nokhatekha taa basingakho bulayi sana mala belakho aa nekhutekha khwosi watakhulya bibisi taa	Bahulyabsi askusinochilakho nendetiemio siilaykhulimaikalisana iknilahufaanendikmiko kufulakho cindali aundi enyikhanuanohatkataasingaasana maablakho anekhuekhakatakhulyaisita
spontaneous-speech-bxk-47933.mp3	Babandu baba nende buri mubandu oba burye mubandu babanabo khubakhongelesya khwabakhola busale ngawabakholele busale mala wabakhola baba nebumanyilifu nine omundu niye babane nabo balimo nekumwiyikino ari babandu abobo nga sekhubarafwirakira tawe khubakelesyila busa kalaa khukhwola nga nibamanyila	Baanu babaneui muanuaui muanu aana kubakhnglisya kakhulausaaleakholibusale aakanmanyilio nenomundu nao e nalimnkmioabanu ao akhuarafilalatae uakelesuskalakhlaibamanyia
spontaneous-speech-bxk-47955.mp3	Bya soshyo midiya biyushanga bukhwale chisiku chino ndi bakhasi balekha khula khufwayo babami babwe nebabana bebilila bye munju balabilila-balondelela chisiimu bela khulusiimu bebilila byomwana	Bassoiausyangaukale isikuinondi bakhasi balekakulehufayo baan baenbaaa bebililabyemuno baailila i balondelelacisio elahusimu beili laboma
spontaneous-speech-bxk-47959.mp3	Omusali womwana ofwana aryo emulanga imuwa kamakesi indi alole bakansala bayete omwana omusoleli wewe nakhalolile bakansala taa ayile omwana yuno mwisikuli sye aleyi amurusye busa mu mu mubikosi bisyalimo bisyamanyanile ninabyo	Bmuali mwanonao emleoakamaksi inalolebaaabayet omwanomusoio naoleleakasaataleomwaa skuli leamussammkosi bisali mbisamanyanie milekaak maa anyoleiksi la
spontaneous-speech-bxk-47967.mp3	Bukosi bwekhungudo papa serekari mukhubirira mubasikari babwe ba trafiki sebakholanga lelo ekasii bulayi tawe bandu batrafiki bano yani kasita obanyolila kitu kidogo omundu okhali treyinidi khulukuto yani kakhakhola kamakoso ata sebaa seba mudisipulina tawe	Busibwkuuto asekliubiiraaskao babaafiki sakhoangalelesiulatawi andubaafiki ono eanyoaktoi munulinifuuuto nkhoakamakoso atasmuisulnaa
spontaneous-speech-bxk-47971.mp3	Kwancha okhoya waba ofunikha mala warekeresya nisyo owasyowo akhuloma obata mwarebana mularebana kasita mwaba mukanikhana nemufukilisyana yani elomo komyunikesyoni komyunikesyoni enamala yakhalikha aba butinyu bwecha	Baa ywaba ufunikha mala warerisaissyakuloa obaa mrebanamularebana asamwaba mukanikhana emufuiisanani iomokomnikesokomnikesoemaikhalikha aabutinyuweca
spontaneous-speech-bxk-47978.mp3	Engeli endayi yekhurumikha yekhurumikhila intanenti mushalo indi iye khu yi ye khuyima embuka khwakipa tayimu khwalondelela embuka bulayi nono khwayenjelakho bibindu byekamasomo kenyikhana khuendelee khuryena nekhwacha intanenti yino lakini bibindu byatikitoko bino birareranga kamakhuwa mungo	Binakhuunkuuminaenaso  ku uukaapaakandeelaukakhwancelakuiikasonyaaakedelekhua okhuwcauetatani datitukolaaakhua
spontaneous-speech-bxk-47983.mp3	Khubayanga chimbusi khubayanga chikhafu khubayanga kamakhese khubayanga chipuusi khubayanga chimbwa nende chingokho nende kamapata nende bibindi bikali sana	Bubayanga ibusi ubayanga ikafu khubayanga kamaeseubayangausi khubayanga iwa necingokho nikamapata niiinibikalisana
spontaneous-speech-bxk-47994.mp3	Khawukha khamuniafu Aa khakhoya bandu belinda nga bubwiyikinwa esi bayesanwa babwe pili bandu baba nebepimisya buli nyinga yembuka fulani ili bamanya sitatasi chabwe	Bafu khaanublindanga uuikinaisaesanaabweili anuabanibepimisaulinyingaebukafulani iliamanyeatasabwesoamanyi
