audio_file	reference	hypothesis
spontaneous-speech-hch-31312.mp3	Ne nemaama tukaarieya mayéʼa ʼaixɨ nepɨrekaʼerietɨya nepenekatemaawíetɨya haitɨari paɨ mepɨkateʼuhukai ʼariké ke ri ʼiikɨ kiekari ya ʼaneme pɨtiʼatɨa hiikɨ ya tepɨteʼuhu hiikɨ tukaari tepuweewíxime Paɨ xeikɨ́a	Ne nemaama tukari maye'a'aixɨ nepɨreka'erietɨyanepenekatemawietɨya ewaitɨari mpaɨ mepɨkateuhukai 'ariké kie riikɨ kekari yane mepɨti'atɨa hiikɨ ya tepɨteuhuikɨ tukari tepuewixi waɨ
spontaneous-speech-hch-31313.mp3	Ne neki nepɨtaweewieni waɨká pɨtiuyɨne ʼɨxá nemɨtihuná haku nemɨkɨʼɨni nemɨ... nemɨranakawɨtɨ́axɨani maana nepɨtakiní ʼenepɨreuteeré Paɨ xeikɨ́a	Ne neki nepɨtawewieni waɨká pɨtiuyune xa nemɨtiuuna haku nemɨkɨ'ɨni ne nepɨranakawutɨaxɨni maana nemɨtakini  nepɨreuteiwaɨxeikɨN
spontaneous-speech-hch-31314.mp3	Ne xewítɨ nemaré pɨtitiweewiwakai tuupiíte ʼɨɨrɨɨ́te pɨtitiweewiwakai mɨɨkɨ kɨmaana pɨtikumɨnékai mɨpaɨ pɨtikuhariupanekai	Ne xewítɨ́ nemaréɨtitiweewiwakai seupite urute mmɨtititiwewiwakai mɨɨkɨ kɨmana pɨtikumɨnékai mɨpaɨ pttitikatikwarupanekaiN
spontaneous-speech-hch-31315.mp3	Ne neteukari pɨnetsiʼukahauxi mɨpaɨ waníu tiuheinɨka tiutahɨawarieka ˀayumieme Xaureme pɨnetiuterɨwáxɨ waníu nemɨkatikuuyenikɨ waníu ʼaixɨ nereuʼeríetɨ nemuyeikanikɨ	Ne neteukari pɨnetsi'ukhuxi mɨpaɨ waníu tiuheinɨka tiutawariekɨa ayumieme xauré mepɨnetiutérɨwaxɨ waníu ne mɨkatikuuyenikɨ waníu 'aixɨ nereu'rietɨnenemeuyeikanikɨN
spontaneous-speech-hch-31316.mp3	Ne ʼikwai pɨnetsinake nekie timieme ʼaixɨ mɨɨkɨ pɨtiwaɨriya nekie mɨrexuawe naakarite kéʼuxate keri mɨɨkɨ ʼaixɨ pɨreuʼerieka paɨ petikwatɨ́	Ne 'ikwai pnetsinakie nekie timieme 'aixɨ mɨɨkɨ pɨtiwaɨriya nekie mɨrexuawe nakarite keʼuxate ke ri mɨɨkɨ 'aixɨ pɨreueríeka paɨ petikwatɨ
spontaneous-speech-hch-31317.mp3	ʼUuwa pɨkatixuawe eh takie timieme ʼuuwa tepɨtehayeʼeriwa eh te... te... te... te... paapá ʼik... ʼik... ʼik... ʼikú paapayari mɨɨkɨ te... tepayeʼeríetɨkɨka pero ʼuuwa eh pɨkatixuawe ʼuuwa pɨtiumawe Paɨ xeikɨ́a ejem	Nuwa pɨkatixuawe atakie timieme uwa teɨtayu'eriwaeteetepaapái'ikupaapayari mɨɨkɨ tetepaye'erietɨkɨɨka perxu 'uwa e pɨkatixuawe 'uwa pɨtiumaweɨ xeN
spontaneous-speech-hch-31318.mp3	Xɨari ri tepɨkateʼayexeiyani ʼaana hipátɨ mepɨtehatɨtɨmaiya ri ʼipaɨ waʼaátɨ pɨreuyewexime ri takiekari paɨ xepɨkaʼaneni hiikɨ tɨɨrí xemunúnuiwa xetenayexeiyani Paɨ xeikɨ́a	Nɨari ri tepɨkateayexeiyani 'aana hipátɨ mepɨtehatɨtɨ maiya ri paɨ 'tɨ pɨreuyewexime ritakekari paɨxipɨka'neni hikɨ tɨríxi mɨnunuiwaxtenayexeiyani paɨxeN
spontaneous-speech-hch-31319.mp3	Kɨxauri panuxiteni ha maana pukatuaní eh xeitɨkaari puyurieni panukupɨné maana ʼaana ke pepenatiwiwieni ʼaana ke ri ha maana pepɨkatuaní Paɨ xeikɨ́a	Nkɨxauri panxiteni ha maana pɨkatuaní  xeitɨkari pɨyurieni pankɨpɨne maana 'aana kie epenatiwiwieni 'aana ke yahamaana pepɨkatuani paɨ xeikɨN
spontaneous-speech-hch-31320.mp3	Ne nemanukatsie naitɨ pɨrexuawe naitɨ pɨretuiya yekwá haxi keʼuxa weuráixi mepetuiya tixaɨ pɨkareuyewetsé	Ne nemankatsie naitɨ pɨrexuawe naitɨ pɨretuiya yakwá haxi keuxa wauraixi mepetuiya tixɨ pɨkareuyewetsie
spontaneous-speech-hch-31321.mp3	Mɨɨkɨ puyupápatutɨani mmm maxa xeeníu mɨɨkɨ pemɨti... pemɨtiweiyawenikɨ ʼeetsiwa ʼipaɨ pemɨrakumaikákɨ pemɨtiheinɨwenikɨ mɨpaɨ	Nɨɨkɨ puyupapá tutɨani maxa xeníu mɨɨkɨ pepemɨti emɨtiweyawenikɨ 'etsiwai paɨ pemɨrakumaikákɨ́ pemɨteinɨwenikɨ mɨpa
