audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ah akil wesif teriga te akil al ita gi beri ya akil yoyote al gi awun nafsi taki gi mma bi jib neta madhar yoyote ama bi jib neta ayan fi gildu ama bi jib neta ayan yoyote ab bi jib neta problem fi gildu yani akili al gi awun afiya taki al mma bi jib neita athar al batal	Ahh akil wasif teriga ta akil ta al ita gi faidha yaa akil yote al gi awun nafsi taki gi ma bi jib neta madhara yote ah ma bi jib neta ayan fi gildu ah ma bi jib neta ayan yote al bi jib problem neta fi gildu yani akil al gi awun afiya taki al ma bi jib nesa ah ma bi jib nesa te akil ta ayan fi gildu
spontaneous-speech-kcn-22127.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al ana gi gal akul ya akil ya yote alam ayan milan wu akil gi jib akil la fi bara bara wu al gi jib ayan fi gildu ase akil al ana gi gal akul ana gi gal akul akil al bi jibu afi ayan al ma gi jib nana ayan ya yote fi gildu jaa eni sikul yatu ayan al gi jibu gamri afi gine wu seme ase nana me gi jibu ana seme ase nana me gi jibu ana seme ase nana me gi jibu ana seme ase nana me gi jibu ana seme ase nana me gi jibu ana seme ase nana me gi jibu ana seme ase nana me gi jibu ana seme ase nana me gi jibu ana seme ase nana me gi jibu ana seme
spontaneous-speech-kcn-22154.mp3	Taalim gi raba be gi jib fahma naa muja fi mujtamiya mujtamiya yan gi raba anas anas gi wasa fi sika al ma al mma gi raba anas al gi arija anas wara yani gi amurugu a anas min fikira te awiri gi wedi anas fi fikira al gidam al bi raba anas anasbi raba bele al gi raba	Taalim gi raba be gi jib faham ana mujita fi mujitam ya mujitam ya yani gi raba anas anas gi wasa fikir al maa gi raba anas fikir al gi arji anas wala yani gi amur gi anas min fikira taawiri gi wedi anas fikira al gidam al bi raba anas al bi raba be ne ahem
spontaneous-speech-kcn-22169.mp3	Ana ma gi hafiz gurus tai fi bank yani sabab to gurus tai bank ah fogo rufa ta maisha dukuru ah deen ab tai ma gi rudu rufa yani ta sun ya gi zidu fi ras ta ya gurus ab tai ana gi hafiz fi bank ma	Ana ma ga fi zi bonus tai fi banku yani sabab to gurush ta bank uwo fogo rushwa ja ma rushwa dukur wadina pi tayi mo gurush ta banku ama sas no fi rizi du frash gurush tayi ya gurush ta tayi na ga fi zi bank kaman
spontaneous-speech-kcn-22190.mp3	Lib al yal gi alab fi ummah tayi libu al gi amsuku badu ma terebiya tomon yani ma terebiya tomon ma dasturi tomon yani lib al gi alim omon terebiya tomon sun ya aju fi terebiya tomon terebiya tomon gi raba kefin ma hafiz lib ab gi jib hafiz terebiya tomon ma dasturi tomon fi ummah tomon	Lib al yal gi alafu ma tayi libu al gi amusum bali ma terebiya tomon yani ma terebiya tomon ma dasuri tomon yani li libu al gi alimum terebiya tomon lakin suni ya ajif terebiya tomon terebiya tomon gi raba kefin ma hafiz lib al gi jib al gi weri namet hafiz terebiya tomon ja taan
spontaneous-speech-kcn-22227.mp3	Teriga al ah teriga al madrasa fi kariya tai saadu yal ya yani amurugu zaman milan mon gi gai kidi fi agara madrasa mon gi agara deeni tomon wu fi deeni de ya zatu gi alim terebiya yatu ya fa kede omon gai Mo kede ishi fi be fi mujtamiya ma fi bele yani madrasa gi fata muku ga amurugu ita min kalam al batal gi wedi ita fi kalam al nesiya kalam al kan ta arufu maa te gaaruf kalam al kan te gi soo fi aruf mma ga awun ita te gi soo sunu te gi wasa min uwo	Teriga alim wayatu ta i ga al madrasa fi kahina tayi saab yalin ya yani amurugu zaman il milan mon gi ay fi kidi fa gala madrasa mon gi agala dini tomon wu fi dini de ya zatu gi alim teribiya yatu ya ta uwo nubi gi alim te rupu ya ta uwo nubi gi alim te rupu ya ta uwo nubi gi alim te rupu ya ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta
spontaneous-speech-kcn-22260.mp3	Kalam al kubarin te deen soo fi umma tena taulan raba deen tomon deen tena tomon tena me te anas kulu ta tinin ya geeru fahma yan amurugu fahma tena min fikira ta al kan te awiri arija fahma tena fi sokol al adil ma aruf sabab sunu ya ina fifi duniya in me sabab sun ya jib ina wu saba nare na fi wen wu saba ne gi rua wen wu ina gi rua kefin	Salam al kubari ini te deegu soo ab uwo ma taala taulan raba dini tomon dini tena tomon tena ma ta anas puu ta tenin ya geru fahma yani emri gi fahma tena min fikra ta al kan ta wiri ja fahma de ina fisika al ajil ma arufu sabab sono ya ina fi fahma je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je nubi je n
spontaneous-speech-kcn-22290.mp3	Ah taalim taalim ta ah yani ta daktari yani mustashtfa gi weri ja kum ja gal wala minsh bana mani gi ligo batna bada shar talata ama aruba shar talata ama shar aruba mara wai kede uwo abidu hafidh uwo nafsi to yani hafidh nafsi de kefin ke uwo abidu adul uwo ke uwo aruf ja kwamba kalas saa yoyote weledu kala ja yani adul marifa sunu ya aju uwo sun ya fa kede uwo soo al kabla youm de Tim kede uwo kun logo uwo adul nafsi to uwo kala fi ma kila sokol to falata al bi awun uwo	Taalim ta yani ta daktar yani mustashtfa gi weri ja kumba ja gal bada min shi balam alayku ligu badina shar talata ama aruba shar talata ama shar aruba mara wai kol abidu hafidhi nafsi to yani hafidh nafsi deka fi ko abidu je gal ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta
spontaneous-speech-kcn-22307.mp3	Agder tamli ta awun yani teriga ta awun nafsi taki min muswiba ta prostate ya abidu tamam nafsi taki bediri ke ta aruf afiya taki gi doru kefin sun ya aju uwo wu kanb ta bi ligo kan te endi sun ya neta soo kabla uwo raba uwo jibu mustakbal tan ama uwo jibu ayan al ma bi agder tib uwo de ya teriga te awun ta min musi muswiba ta prote ta prostate	Agider ta hawin ta awun yani finger awun nafsu tagi min muswiba ta prostate ya ta bide tamam nafsu taki bediri ke ta aruf afiya taki gudor kefin suni aju wu kan tabi ligo kal te endi suni aju keta so
spontaneous-speech-kcn-22386.mp3	Stamil simu ana gi stamil simu mar milan ma wai ma tinin yani milan mar milan	Aaaa stava nusim ana gi stava nusim ma mara milan ma wai ma tibu nyani milan
