audio_file	reference	hypothesis
spontaneous-speech-pne-15186.mp3	Amik pitah kelunan mipe amik tong penusah ineh tai ngan ketua kampung amik tai ngan ireh jau tuak umerk amik ineh tai pani menyuk yah pani menyuk eh barak ngan kat kelunan mipe amik tolong monak dan neh sen dan neh rigit nak kurek nak lomah pelusen jah rigit jah use ineh jalan ineh cara ayuk mani tolong menyuk amik pepipe ngan kelunan	Amik pitah kelunan miper amik tong eah ineh Tai ngantuakapung amik tai ngan ireh jau tuan ume'rk amik ineh ta pan ye menyuk yah pani y menyuk yah barak ngan kat kelunan miper amik tolong monak dan neh sen dan neh rigit na kure'k neh oma senh jah rigit pah jah use Ineh jalan ineh care ayuk manitolongmanipn piper ngan kelunan
spontaneous-speech-pne-15191.mp3	Akouk kira'k yeng yeng kat barang lobuk sukat manouk kelunan bawai sekulah tetap eh pun jin tinen tamen neh eh mipe eh menyuk eh tai sekulah perajin eh sekulah berajan ineh baruwk neh mojam ineh baruwk neh rajin yeng eh jah barang lobuk	Akouk kirak yeng yengg kat barang lobuk sukat manouk kelunan bauwaeh sekulah pon tap eh pun jin tinen tamen neh eh mipeeh menyuk eh tai sekulah Merajin eh sekulah berajan ineh baruk neh mojam ineh baruk nehrajin yeng eh jah barang lobuk
spontaneous-speech-pne-15193.mp3	Dan tai melakau- tai melakau ineh ayuk tai nevalau konep sat konep yeng jian konep pane Ngan neh awu panouk nek tajak keh tai pitah yak jalan ayuk mukuk sedirik ayuk mukuk petiken Menyalau konep sat ineh konep pane ineh Ineh pukuk ayuk tai melakau	Dan tai melakau tai melakau neh tainealau konep sat konep yeng jian konep pane ngan ne awupanouk nek tajak keh tai pitah jalan ayuk mukuksediri ayuk mukuk petiken menyalau konep sat ineh konep pane ineh Ineh ukuk ayuk tai melakau
spontaneous-speech-pne-15197.mp3	Yeng pun inak boken yah ayuk tai nyelogen ayuk mukuk tai peteken pani ngan kelunan ngan sik yah anak yah lakeik dan amik Juk petiken sumak tai lak Juk lah lak than lak tanak lak bek tai duah amuh keh toleuk use amik ineh keh tai	Yeng pun inak boken eh ayuk juk llonn tai mutuk tai petiken pani ngan kelunan ngan sik kek anag ke la dan amik juk petiken sumak tei lak juk lah lak tuan tanak lak berk tai duah mu op kek use a juk pani ineh tei
spontaneous-speech-pne-15200.mp3	yeng pun le'terk konak le'terk eh tan kik siget langit eh bi mengase tong awa tong tilung pe'pauk ngase tong lasan Pun ate ireh main bon pun ate ireh main takraw ineh peh bareng de'kuk ireh lalek mojam	Yeng pun le'terk konak le'terk eh tan kik siget langit neh Eh bi mengase tong awa tong tilung Pepauk mengase tong lasan pun ate ireh main bon pun ater ireh main takrawu Ineh peh bareng dukuk ireh lalek mojam
spontaneous-speech-pne-15202.mp3	Akuek pogeng ayuk ijin mopuk ayuk ijin- ayuk tv ayuk pon ayuk speka ayuk ineuk Jah yah boken konak tok solar ineh semua Yah ineh bii pongah ayuk kik	Akouk bokeng ayuk ijin mopuk ayuk ijin ayuk tv ayuk pon ayuk spekar ayuknouk jah eh boken ptogsola neh semua  ineh bi pongah ayuk kik
spontaneous-speech-pne-15202.mp3	Akeuk pongah maneuk beg pongah maneuk bukui Bukan naneuk kik tinen kik maneuk Akeuk suma manyam Keh kek borat keh kek taleik beg ineh abin vey beg vey bukui ineh pongah nanyam kik pongah neuk kik	Akouk pongah manouk beg pongah manouk bukui mukah nanouk kik tinen kik manoukuk sumah manyam keh kek borat keh kek talik bak ineh abin v bag ya bukui ineh pongah nanyam kik pongah nouk kik
spontaneous-speech-pne-15207.mp3	Tai lak banget ineh yeng ineh lalek jiak DeKuk neh lipag bareng sukat pelangui bareng sukat keleterk dalem dan yeng melakau dirin be'ek tuek Pun Dan neh lak be'ek be'ek ineh sukat menoset sukat pelangui dalem Bareng pun lipag neh	Tai lak banget ah yeng yeng ineh lalek jiak du'kuk ineh lipak bareng sukat plangui bareng sukat kleterk pokdalem dan yeng melakau dirin berk tuer Puneh dan neh lak berk Bek ineh sukat menoset sukat plangui dalem bareng pe lipak ineh
spontaneous-speech-pne-15211.mp3	Ijin daven tv pon Kat barang ineh kebosau kik bi neh ateg neh Dekuk neh pun karen Karen ineh sukat mematai kelunan Makin inouk dan ireh anag ayuk pon ayuk tv ayuk barang ineh bi	Ijin daven tv pon barang ineh kebosau akik bi neh ateg neh dukuk neh pun karen karen ineh sukat mematai kelunan makinouk dan ireh anag ayuk pon ayuk tv ayuk barang ineh bi
spontaneous-speech-pne-15218.mp3	Nak pun bengosak ulouk bengosak amik tai daleh ireh roti neh yah jiak yah sukat yah mojam...ineh du'kuk neh avik tong daleh ireh niah neh set yeng eh avik daleh ireh urip kik la dalem konep kik eh jiak neh ineh...	Nk Pun bengosak ulouk bengosak amik tai lak daleh ireh Roti neh yah jiak yah sukat yah mojam an neh dukuk nah avik tong daleh ireh nian neh sat yah avik lak daleh ireh Nurot kik lah dalem konep kik eh jiak neh ineh
spontaneous-speech-pne-15222.mp3	Akouk koluk maen badminton maen bola tampar koluk maen football inouk eh jah nan pemain Jah sumak akouk yeng mojam main pong Manouk manouk leterk keh tue	Akouk koluk main badminton koluk main bola tampa koluk main fut bou inouk eh jah nan main jah sumak akouk yeng mojam main pong manouk manouk leterk kik tuek
spontaneous-speech-pne-15223.mp3	Urouk beladak jah urouk beladak siget langit tan kik kayouk ngan kayouk bunga bunga konak piak amik ponan mateng bunga bi ineh tuerk tan kik siget langit	Urouk belada jah urouk belada sigel langit tan kik kayouwk ngan kayouk bunga bunga Konak piah amik pogan n maten Bunga bi Ineh tuek tan kik sige langit
spontaneous-speech-pne-15226.mp3	Akeuk sumak manouk piak keh ngan nah bu'ak eh menawai bu'ak eh lalek tusah konep neh lalek pepiken pinek muat sebayang tu'erk pesayak ngan tuan tu'erk Semua jalan ineh dak pun loh kerk ayuk petobang keh piak kik	Akouk sumak manouk piak kanna buak eh menawaibuak eh lalek tusah konep neh lalek pupiken pinek uat sebayang tuerk sayak ngan tuhan tuerk loh ayuk tobang eh piakki
spontaneous-speech-pne-15230.mp3	Le'terk koluk kik le'terk pojah le'terk tosog pesangun pani avik amik malak avik amik juk belosit ivak bi dak ayuk amik malak ineh koluk kik du'kuk ineh jiak rasa neh tong akouk dan amik malak konak towk ineh	Leterk koluk kik leterk pojah tonsoq pesangun pani avik amik malak Avik amik jukberosit a yuk amik malak Ineh koluk kik dukuk ineh jiak rasa neh tong akouk dauk amik malak konak e tong ineh
spontaneous-speech-pne-15233.mp3	Kelunan jau yah kevilik amik dan pun adui Yan neh manouk lamin manouk porut manouk kayouk kek menyayat manouk malat Ineh adui ireh jau yah kevilik abu peh kevilik dekuk neh mojam manouk adui ineh bi	Kelunan jau yakavlik amik dan pun adui yan neh manouk lamin manouk porut manouk kayowk mnyayat manouk malat ineh adui ireh jau yakev Abuk peh kevilik dekuk neh mojam manouk adui neh bi
spontaneous-speech-pne-15235.mp3	Ulouk jau itouk tek nebare manouk piak mengajan ireh anag Medei ireh panouk medei ireh kesat Buak ireh panouk buak ireh pepatai Menyuk ireh keriyok ineh baruk ireh mojam ineh baruk ireh malai atan ireh kek dak Awu ineh	Ulouk jau itouk nebarek manouk kak mengajan ireh anak modey ireh panouk medey ireh tesat buak ireh panouk buak ireh kepatai menyuk ireh keriok ineh baruk ireh mojam manouk baruk ireh malaitai ireh awu ineh
spontaneous-speech-pne-15240.mp3	Yeng pun eh konak dah ereh koluel ngeninek eh ireh ngeninek eh yeng pun kelunan boken sineh dan mauk akuek juk tonak konak tok akuek sajak akuek tonak sineh dan neh yeng koluk dan neh moyek ngeninek eh yah pun sukat pokeh jineh yeng iboh eh ngeninek nimah	Yeng puneh konak dan ireh koluk ngeninik reh ngninik nah pehkna boken sineh dan neh mauk kik juk tonak motom ka akouk aja kek tonak sineh dan neh yeng koluk dan neh monyerk ninik eh yah pun sukat pokeh jin ineh yeng peh ninik mem
spontaneous-speech-pne-15242.mp3	Akuek cumak arep ireh anak amik sekulah ireh anak amik eh larui berajan sukat mojam sukat tai daleh boken neuek pogojam ireh neuek kejiat ireh ineh eh kenarep kik ineh juk penawek kik	Akouk sumak arep arep ireh anag amik sekulah anag amik eh larui berajam  sukat mojam sukat tail laleh boken louk pengojam ireh nouk kojiak ireh ineh Ineh eh ke arep kik ineh jun pun awerk kik
spontaneous-speech-pne-15245.mp3	Umk pun eh nak pun penolong pun kelunan eh jian nak ireh jah akouk yeng mojam eh sagam langit jah konak peh eh inouk jiak pah komah eh dak avik langit itouk ineh ineh akouk yeng mojam ineh	punn ineh pun pehdolog pun keluna eh jian dak ireh jah akouk yeng mojam eh sagam langit jah konak keh inouk jiak pahkoma dak Avik langit itouk ineh Ineng akouk yeng mojam ineh
spontaneous-speech-pne-15249.mp3	Yeng akeuk erei menimah kek barak akek koluk menat eh konak-konak Sukon eh toneng buteq kek pun eh toneng inak nah Ineuk kik menimah kek milik eh konak-konak nat Yeng eh keh tuek neh	Yeng akouk rai menimaakok barak koluk nat eh konak konak sukon eh toneng butog sukeeh toneng inak nah Yah nouk keh menmahakouk Milik eh konak konak na yeng eh keh tuek neh
spontaneous-speech-pne-15251.mp3	Inouk kerk tabe ineh yeng akouk mojam sumak akouk barak akouk yeng mojam tuwerk neh...yeng akouk mojam roti piak tabe neh keh tuwerk yeng akouk mojam tajak kik yeng mojam piak ineh	Inouk kek taber neh yeng akouk mojam Sumak akouk barak akouk yeng mojam tuerk neh yeng akouk mojam rotik piak tabe Keh tuerk yeng akouk mojam neh rajak kek yeng mojam piak ineh
spontaneous-speech-pne-15256.mp3	Yeng pun leterk boken leterk ulouk masa ulouk ramey masa ulouk keleterk masa ulouk tahun baru masa ulouk sagak keh manouk inouk inouk kah Leterk kah ineh tue-	Yeng pun le'terk boken le'terk louk masaulouk ramey masalouk kle'terk masaluk nbab ma sagakk manouk ninouk kaleterk k ineh tue
spontaneous-speech-pne-15257.mp3	Yah ineh peh akouk yeng mojam du'kuk akouk yeng yeng pogeng tai tong sekulah Anag kik ineh tenuboh tinen kik tinen kik jagak tinen kik min eh tai sekulah avik mauk acara inouk inouk tong sekulah	Yah ineh pen akouk yeng mojam Dekuk akouk yeng yeng pogeng tai tong sekulah anag kik ineh tenubo tinen kik tinn kik jaak tinen kik mineh tai sekulah avik mauk acara inouk inouk tong sekulah
spontaneous-speech-pne-15262.mp3	yeng pun yah daven TV urip amik langit iteuk Cumak langit iteuk yah pun ne ineh TV sedirik lamin sedirik ayuk amik nat kat semuah berita ineh	yeng pun nueh daven tv urip amik langitouk Suma langitowuk yah pun neh ineh tv sedra setir ayuk amin natKat semuah berita ineh
spontaneous-speech-pne-15265.mp3	Tateg langit itouk kalau ulouk nat masalah langit itouk jin malem atau peh langit itouk ulouk rasa neh jian yeng berapa yeng peh pun terk yeng pun jiak keh	Tateg lang itouk Kalaulok nat masaa ngngik itouk jin malem punvangk itouk oluk rcane jian yeng brapa yeng peh pun terk yeng peh pun jiauk Keh
spontaneous-speech-pne-15268.mp3	Tong joh sekulah guruk ngan tinen tamen pun jah pokat pun jah ani Min anag yah- jadi tegas jadi jian jadi tong pojoh juk tai sekulah Tai universiti tai avik inouk kah Keh	onjoh sekulah guruk ngan tinen tamen pun jah pokat pun jah nani min anaq yah jadi tahgas jadi jian jadi tong pojoh juk joh sekulah avik eh yur vtvinukka Keh
spontaneous-speech-pne-15271.mp3	Ramey koluk eh koluk kik ineh paling jiak tong akeuk lah ramey bulan puluk duah rameh krismas ramey taun baru Ineh koluk kik	Ramey koluk eh koluk kik ineh paling jiak tong akouk lah ramey bulan koluk duah ramey krismas ramey taun baru ineh koluk kik
spontaneous-speech-pne-15275.mp3	Yah tong joh miper dalem sekulah konak tog joh Amanah Tabung Bakun Murum kah joh monak amik bantuan Konak ineh kek Sarawak Energy Ineh neh jah koluk-	Yah tong joh mipet alem sekulah kek totowk Amana tabung bakun murum ka joh mon amikbauan kinsr Ineh eh jah  koluk
spontaneous-speech-pne-15278.mp3	Yeng pun yah anah amik Ponan Dan amik yeng pun adet tew yeng pun yah boken ramey boken nanouk amik sedirik kek napun amik	Yeng pun yah anah amik ponan dan amik yeng pun adettow yeng pun eh boken  boken nanouk amik sedirikerk npn amik
spontaneous-speech-pne-15281.mp3	Yeng yah keriek kik langit ituek sumak akuek meriet dalem sekulah dalem pendidikan dalem inuek kerja sekulah yah nanuek anak nanuek ayam ineh tuek	A yeng pun yah keriyet kik langit itouk Smakep meriyet dalem sekulah dalem ma peredikan dalem inouk tonjah sekulah yah nah anag yah ayam Ineh tue
spontaneous-speech-pne-15285.mp3	Yeng pun tateg seritak ireh yah sau ngan langit itouk mungkin yah langit itouk yah jian tan ulouk dalem urip yeng pun aneh ireh sau ineh tuwerk	Yeng pun tateg sekidak ireh yah sau ngan langit itouk mukin yah langit itouk yahjian tan urouk darem urip ulouk yeng pun ireh sau Ineh tuek
spontaneous-speech-pne-15288.mp3	Kalau amik tong joh amik ponan kelunan yah lagu koluk tan amik Jolly Jengan lah penyanyi jin amik ponan sedirik Yah jin borem Yah pongah popular	Kalau amik tujoh amik ponan kelunan yah lagu koluk tong amiklaan lah kenyanyi jin amik ponan sedirik yah jin borem yah pongah pepuler
spontaneous-speech-pne-15292.mp3	Yeng pun eh konak gaya tong daleh amik biasa-biasa lah kalau ulouk nat eh nemang eh pun yah keh Dalem konep ulouk lah	Yeng pun eh konak atong daleh amik Jiasa biasalah Kalau ulouk nat ehNmangpun yah keh kolem konep ulouk eh
spontaneous-speech-pne-15295.mp3	Amik bareng amik sukat ayuk pon dan line yeng Kat amik pengawu itouk yeng siah eh sukat yeng pakey pon dan neh yeng anag sekulah tue Dan ireh tai sekulah ireh tai tong asrama yeng sukat ayuk pon	Amik baruk amik yeng sukat ayuk pon dan lain yeng Katna amik pengawu touk yeng siah eh sukat yeng ka kek pon Dan neh yeng konag sekulah tuerk dan ireh tai sekulah ireh tai taseame yeng sukat ayuk pon
spontaneous-speech-pne-15301.mp3	Owk pun suket pun tosog nak ireh nouk ireh jau ireh tamen amik ngan amik sau tentang kayau tong jah adui ireh padui ireh kelunan mukun sau Jah akouk yeng ingat eh konak akouk juk barak eh kelak kerk...konak piak kik juk tosog eh kelak ngan ireh anag ngan ireh kelunan kik Ineh tuwerk kojam kik akouk ingat pun tamen tinen tosog eh keh ngan kik sau	Owk pun sukert pun tosog nak ireh nouk ireh jau ireh tamenamik kan amik sautang kayau tong jah adui ireh padui ireh kelunan mukun sau jah akeuk yeng ingan eh konak akouk juk barak eh kolak kk konak pe kik juk tosog eh kolak ngan ireh anag ireh kunan kek Ineh tuerk kojam kik akouk ingat pun tamen tinen tosog eh keh gn kik sau
spontaneous-speech-pne-15306.mp3	Kelunan eh manouk konep kik ma'eng manouk konep kik muat dalem akouk pun masalah dalem akouk pun adet sat tinen tamen kik padik kik anag kik avik peh eh dan neh laleik kik ireh tuerk yah sukat mema'eng konap kik sukat ngeran konep kik dan sat konep dan kik pai dan kik tapah konep keik	Kelunan eh manouk konep kik maeng manouk konep kik muwat dalem akouk pun masada dalem akouk pun adp ukesat tinen tamen kik ikik anaq kik avik piah dan ineh lakei kik Ineh tue eh sukat ngemaeng konep sukat ngrang konep kik dan kik sat konep dan kikpadan kik tapa konep kik
spontaneous-speech-pne-15309.mp3	Penguman yah jiak monak uwat monak laset monak ineuk lah kejian tong batung Tong akeuk yah neh kanen kan tulan eh murip tong tanak avik eh tong bek Yah ineh kinan amik Ineh monak wat monat kang ngan amik	Penguman yah jiak monak wat Monak lasenmonak inouk lah kejian tong batung tong akouk yan neh kanen kan ulan eh murip tong tanak avik eh tong bek yah ineh kinan amik ineh monak wat monak gaanga amik
spontaneous-speech-pne-15311.mp3	Pengoluk kik ngan ireh anag kek akouk koluk ireh bawai sekulah Akouk Koluk ireh mojam sekulah akouk koluk ireh rajin tong sekulah Supaya ineh dak- awu itouk dak ineh urip ireh ineh dak Ineh makan ireh berajak ireh ineh awu Ineh eh juk koluk kik akouk juk koluk ireh mojam juk koluk ireh ireh sukat konak ireh jah keluak	Pnkoluk kik ngan ireh anag kik akouk koluk ireh bawai sekulah akouk koluk ireh mojam sekulah akouk koluk ireh ireh ajin ton sekulah Suya ineh dak  awu itouk dak ineh urip ereh anaik dak Ineh makan ireh berajak ireh ineh awu Ineh eh koluk kik Akouk juk koluk ireh mojam akouk koluk ireh sukat konak ireh jah keluak
spontaneous-speech-pne-15316.mp3	Pengoluk kik dalem neh ijin mopuk ineh sukat mipe akouk padui roti neh kone' dan kik mopuk ayuk ijin sukat akouk manouk adui boken keh kerk tv tv ineh sukat nevalau akouk jin konep sat konep belamak putung langit akouk nat tv keh kerk barang boken	Pun oluk keak dalem neh ijin mopuk ineh sukat miper akouk padui reh kon mopu ayuk ijin sukat akouk manouk adui boken Keh kek tv tv ineh sukat Nevalau akouk jin konep sat konep belamak kek putung langit akouk nat tv keh kek barang boken
spontaneous-speech-pne-15320.mp3	Seritak koluek tan kik seritak gangter malaysia irei ineh koluk tan kik koluek naek pah avik kik pun seritak pegau kolak ineh jul tan kik avik pah-pah lomah pak avik akuek konak kek koluk kek piak puas juk nat ireh mau kik nat	Seritak koluk tan kik seritak gangter asr Ineh koluk tan kik kolukakonat pah pah vik biavik pun seritak ineh musik ponganun kolak ineh juk tan kik pakomahv konak kek konep kek pun asemenat da ineh baruk kik mauk nat
spontaneous-speech-pne-15324.mp3	Dalem kojam kik lah akouk sau mah keroja sekulah eh man eh sat manouk tong akouk sau sumak bahagian Matematik Tong yah bahagian bahagi ineh tue tusah tong akouk sau Tapik dai itouk lah jiak yeng lalek keh	Lalek kojam kik lah akouk sau keroja sekulah manne sat manouk tong akouk sau sumak bagan ta mik tong yah baan bagi eh tuek tusah tong akouk sau N pe de itouk la jiak yah lalek keh
spontaneous-speech-pne-15326.mp3	dan pun adui pun keroja akeuk juk keroja keroja inouk inouk sukon akeuk mojam manouk neh sukon akeuk peroti adui ineh tajak nanouk kik sukon pun rigit pun gaji neh ineh ayuk kik murip ineh ayuk kik berajak anag kik sekulah tinen tamen kik ineh pu'kuk ayuk kik koluk sukon eh pun gaji	dan pun adui pun keroja Akouk juk keroja keroja inouk inouk sukon akouk mojam manouk sukon akouk pra adui ineh tajah nanouk kik sukan pun rigit pun gaji ineh ineh ayuk kik murip ineh ayuk kik beraja anagk kik sekulah tineh tamen kik ineh pu'kuk kik koluk sukan eh pungaji
spontaneous-speech-pne-15329.mp3	porut tan kik pengawu itouk nik malem langit tonah akouk nat porut buerk mangga buerk ropi abin porut buerk- maleik piak amik ponan mateng buerk maleik Ineh tan kik neik malem itouk	Porut tagik pengawung itouk Nik malemgetonah porut buer maga buer rop Abi porut buerk malek piah amik Ponan mten buer malek Ineh tgek ni malem
spontaneous-speech-pne-15338.mp3	Amak kerapit yah kodai yah lalek kebosau amik amik yan neh dam nyamog sakit buri miket kuvang sakit ulun Ineh semuah ineh amak kerapit Ineh bi amak kerapit eh kodai amik	Amak kerapit eh lalek kodaie lalek kebosau amik yan neh dam yamo saki mui miket ubang saki ulunneh amak kerapit moji tuvuk a ineh bi amak kerapit yah eh koda amik
spontaneous-speech-pne-15340.mp3	Keh neh ngan kelunan yah tuai tong daleh amik tuai mapun amik ponan setu'ek ireh idun ireh kinak ireh orang putih ireh ineuk pegosak pilipen semua kelunan juk labuh ireh tuai ngan amik sete'uk keh	Kh nan kelunan eh tuai tong daleh amik mapun amik Ponan sitouk ireh Idun ireh kina ireh oram puti ireh inouk eh mosak kilipin semua kelunan yeh jin daleh juk lapun ireh tuai ngan amik sitouk
