audio_file	reference	hypothesis
spontaneous-speech-mmc-21692.mp3	K'o rí 'ä̀t'äjmi yó m'ayôrü e María... Nú mbáne rí 'ä̀t'ji ná míxa	K'o rí ä̀tjm'e yó má... má dyö̀rü èm'a rí... nú... nú mbáne rí ä̀tjm'e ná míxa
spontaneous-speech-mmc-21716.mp3	Hângé gá yët'ji nú séncho k'a síjàjñini 'ät'i kjṓ'ō ndécho k'a ná s'íb'órëcho ñé'e k'a ná ndzíró's'a chámbaji 'ötü rá ts'âpji rá tedyü dyà m'ará të́'ë yó dyü'ü 'éxíspjiji jiâsmaji 'ispiji ndéje para t'ë'ëza kídyü'ü Ke se té'e k'o rá dyù 'ët'ëji k'a jiârü dyàm'a nòdya hó'o dyéró ngünüji dyá ró jiês'eji ná xôma pa ji'ó'o nájp'a hök'ü zájk'o 'ngóraji para que ná ndárajo m'ayájtja ná hó'o yágá kjíjmi yágá yá n'êrází yó té'e dyàró mbás'äji k'a 'añéjp'üji nú tújk'ünú k'a ná té'jto k'a rá t'á'a nú kjára ts'âpji yó 'íxpji kjonújiârü Dyàm'ará xí'ichi k'a mügü séncho k'a yándá'a rá ts'âpji rá ts'âts'aje rá së́dyi	Jângé gá dyä̀tji nú së́nch'o k'a síji à jñíñi ä̀t'i kjṓ'ō ndécho k'a ná ts'íb'örecho ñé k'a ná ts'í rö̌za ch'âmbaji pôtü rá ts'ápji rá té'e dyä̀'ä dyá rá té'e dyä̀'ä eh... xísp'iji jâs'ma xísp'iji ndéje k'a rá dyä̀t'i nú së́nch'o k'a síji à jñíñi k'a rá dyä̀t'i nú së́nch'o k'a rá dyä̀t'i nú së́nch'o k'a rá dyä̀t'i
spontaneous-speech-mmc-21720.mp3	Nú tjṓmëchi kjuá'a este... yá ch'ā́spaji levadura ngéjo tjṓseme k'a yá sö̀b'ü xíspiji párëhë k'a ná xíspiji nú tjṓseme para b'ǚndzü ts'ák'ajmá chándaji ó levadura ó ngéjo Royal y 'árro jiäzi ná ndájme k'a rá b'ündzü desde k'ó yárú'u yä'tji nú tjṓmëchi ndá k'â'a té k'a 'änteji yó dyë́'ë ñ'é'e nú ts'íjkuá'a k'a rá ndísp'iyo ndó'o Nú kjáxiji nú tjṓmëchi kjuá'a k'a ocupágöji má áñima ñestjo má áñima 'äjt'äji k'a nu tjṓmëchi k'a rá	Nú tjö́mëch'i kuà'a este... dyá ch'ânsp'aji levadura ngéjo t'ö́së́jme k'a yá zö́b'ü xísp'iji pâreje k'a ná xísp'iji nú t'ö́së́jme para b'ǚns'ü ndzàk'a má ch'âmbaji ó levadura ó ngéjo ró yá yá ró jyés'i ná ndájme k'a rá b'ǚns'ü k'a rá jyó'o dyá rá jyó'o dyá rá jyó'o dyá rá jyó'o dyá rá jyó'o dyá rá jyó'o dyá rá jyó'o dyá rá jyó'o dyá rá jyó'
spontaneous-speech-mmc-21721.mp3	Nú ñěch'e k'andàp'ágö àjñíni ngé nú kṑjtṑ k'a ná hó'o pára 'àñátja ñem'a senti kònája dyé má k'a mbéjkue mí nà 'üm'ü péjme Nú kás'ôra ndônt'i rá mbéye nú ts'írë̀jë k'a rá ndébiji 'ka ná xálo Máji yó rá jiës'eji yéré ná síji ts'ímp'a ngék'o rá jögü k'a nú pénk'aná'ü k'a náha Mi ná jó'o nú ñéch'e ñú'u 'ókṓtjō	Nú dyë̀ch'e k'a ndá k'o pâ'a gí à jñíñi ngéjnú kjṓtjō k'a ná jó'o para má ñáta ñé'm'a sentío k'a nája ñé'm'a kjâmbéjkue mí ná ndúpjéjme nú k'a só'o rá ndóntji rá mbédye nú ts'íreje k'a rá ndéb'iji k'a ná xálo
spontaneous-speech-mmc-26534.mp3	Gu xö̌rü go ró ́jwězhi mi kjá ja na kjö̀sü pá rò sö̀rü p'edye rò xi kjū̌'ū ko'o k'o yo tjǖmü ko ya mí kja chi pá rò p'éxe 'ǐ í nge ko rà xòd'ko rò jwë̌zhi nu jnú kjö̀s k'â xiji xín kwas'ü ó nge jo ó lómiño gé kó rà xo kjū̀ ró ró jwë̌zhi p'e ke ró xík'ü k'a ya mi t'ë́ćhi a kè ró péx nájo jángo tsí mí kapkaji ijá nge ma mó'kü ji ga tsi kjü ngé ko nuja rí rí pë̀chi rá jwë̌zhi 'í'i xi chi yo yo tě yo yo né k'a rá jwë̌zhi ni k'a rá xö̀rü 'weke má ji na s'o ka rí 'ä̀t'ä ídya ngètsko ko yo té yo'o yò má rá jo kjö̀sü d'íne ngwara xö̀rü ji	Àjmu xôrü gó ró juë́zhi mí k'â'a ná kjôs'ü para só'o pêzhe ró xík'ü k'o yó tjǘm'ü k'o yá mí të́ch'i para pêzhe y ngéko rá xôrk'u ró juë́zhi nú... nú kjôs'k'a xíji xí'i k'o s'ǘ'ü ó ngéjo lo míño ngéko rá xôrk'u ró ró juë́zhi nú kjôs'k'a xíji k'o yó tjǘm'ü k'o yó të́ch'i nú kjôs'k'a xíji k'o yó të́ch'i nú kjôs'k'a xíji k'o yó të́ch
spontaneous-speech-mmc-26535.mp3	'À ná vez gá gó pítsiji má k'â'a mí... ní xútǐ'igö gó ndṑk'ü dyéje 'o tǐ'i k'a mí ch'í'i pjâd'ü né mí tjǒb'i pjâdü Eh ró... ró b'ǘgü t'ó'o má k'a índzǔm'ü ró d'ásü ná k'ôt'ǘ k'a í mí k'o píts'i rí xiji k'o ró ndák'a sū́bi nù í ró b'ǚgü ró s'ǘk'ü k'a nù ngǔm'ü k'a mí mbéchk'etjo nú ngǔm'ü mí tìdyo mí k'o pítsk'o ndéxi k'o ró ná k'ásüji	Ná b'ë̌s'i gá gó píts'iji ná kjâ'a mí... mí xúti gó ndä̀'k'a dyèje ó tǐ'i k'a mí ch'íjpjárü mí t'ä̀b'i pjârü Y ró... ró b'ǚgü gá má k'a índzǔm'ü ró rá s'ǚn'a k'o t'ǚk'a í mí k'o píts'iri xík'o ró ngájk'a zǚb'i nú y ró b'ǚgü ró s'ä̀t'ä k'a nú ngǔm'ü k'a nú ngǔm'ü k'a nú ngǔm'ü k'a nú ngǔm'ü k'a nú n
spontaneous-speech-mmc-26537.mp3	Yó Santiaguero k'o nêm'e à San Mateo este yá mbíb'ë̌zoji ñejo tántë́'ë k'o yá ná së̌zhi gá pès'ü ñe tǐ'i Pjë́b'iji ná ná flauta ñeja támbo í b'ǚb'üji nú capa k'a pǘb'üji k'a ná mbája ndó kjèzheji kjèzhe k'a ná mbája núji ó espada ngé yá k'o zä̌näk'o í ñejo tjū́s'ü núji ná bandera k'a b'ǚb'ü ná Siño të́'ëji ná Siño k'a xíji Santiago ngék'o ñóji Santiaguero nêm'eji má má mbáxua k'a mbéjchujn'ü yá mí b'ë̌zo k'o nêm'e ñe tǐ'i	Yó Santiaguero k'o në́m'e à San Mateo este... dyámbi b'ë́zoji ñéjo tante k'o dyá ná së́zhi gá b'ë́zo ñé tǐ'i pjë́b'iji ná ná flauta ñé ná tampo y b'ǚb'üji nú k'âp'a k'a pjǚb'üji nú k'a ná b'ǚb'üji ñé k'o dyá rá b'ǚb'üji ñé k'o dyá rá b'ǚb'üji ñé k'o dyá rá b'ǚb'üji ñé k'o dyá rá b'ǚb'üji ñé k'o dyá rá b'ǚb'üji ñé k'o dyá
spontaneous-speech-mmc-26538.mp3	Yó ndä̂jnä k'o té à jñíñi ngéjo... ó alcatraz ñéjo róxaxí de Castilla ñeje ná k'a xîji mûxa ndä̂jnä Ndé té ó... ó kjṓntjo k'a ngǔm'ü k'a ná jó'o para 'äpjäjmé yé má gí sentío Ngéko té nú... à... b'ûnk'o yá té k'o ndé yó ndé'me ó lad'yo la kja yó tjí'i kja yó tū̀jmuji kja nú tjí'i para yó gástots'ats'éji kjânt'i k'a síño ngéko té à jñíñi k'o yó ndä̂jnä	Yó ndä̀jna k'o té à jñíñi ngéjo o àk'a atrás ñéjo o róxáxi de Castilla ñéje ná k'a xígi m'ǔxü ndä̀jna ndé té o kjṓnto k'a ngǔm'ü k'a nájo para ǜpjüjmé dyém'a gí sentío
spontaneous-speech-mmc-26540.mp3	M'á kjá'a mí píts'i que ró m'á kja mí xút'ǐ'i mí píts'i k'a nú mbéxôma k'a rá m'adyámü ndzhǚgü nú mbéxôma porque mí 'örü ts'ájmé mbára 'é'ji má bá rá à Bṓndo ñě'm'e tá'a rá jká méts'e k'o mbé ná ngǔmü y mí píts'i nè'e b'ǚb'ü porque ná bëzo k'a'a mí kítch'i kja yó ngǔmü rá má'a mâ'a píxu ndíxu Ñê'e má mí ndzhǜd'ü kja má mí pjö̀rü mí... mí sö̀gü yó kjíjmi y yó xíska ñá'm'e yó kjíjmi Porque mí so'o ngéko yá mí mí kjǜgü mí tö̀'t'ü k'o yó kjíjmi k'a jñí'i	Má kjâ'a mí ts'íjté gó má kjâ'a mí xúti mí píts'i k'a nú b'ë̌xö'm'a k'a rá... má yá gú ndzhǚ'ü nú b'ë̌xö'm'a porque mí ó rú ts'ájmé má rá ehéjé má má gá né'e Bṓndo ñéjme tá'a rá k'ejmé ts'ájk'o mí k'a ngǔm'ū í... mí píts'im'e porque mí b'ǚn'a b'ë̌zo k'a nú b'ë̌zo k'a nú b'ë̌zo k'a nú b'ë̌zo k'a nú b'ë̌zo k'a nú b'ë̌zo k'a nú b
spontaneous-speech-mmc-26541.mp3	K'á jñíni b'ǚb'ü ó lugar kò sagrado pa ndá ó pa xôrüji nú ts'ák'á'a k'a níts'imi 'ö̀ngéje k'a o ts'ícapilla 'ä̀tp'äji yó mbáxua ñéhe jângó pë̀dyëji yó b'íjtu yó sí'iño b'ǚb'ü ná jó'o juájm'a k'a pë́s'e ndéje... dyà hë̌si rá sí'i ó animále k'a ndéje 'ok'ejo k'o rá para m'ámbíño b'íjtu nâxto yó b'íjtu yó siño gó p'émbeji m'ádyagúzü yó mbáxbaji Ñéje k'a b'ǚb'ü ná të̌hë k'a 'ä̀t'i nîxa 'ë́ñë pa 'ö̀rüji pòho k'a dyàra xū̀'ūt'i yó porque 'éñe míxi ró 'ö́ndéje para ngó nú téje m'áráxû'u mbéje nú dyä̀rä rá pjántëjë gó m'ajñíni ñë'ë rá ts'ǜntü yó të'ë ngéko 'ä̀tp'äji nú míxa míjingóme 'ä̀t'pjüji k'a mí k'ǜgü pero gúdyà dyàjk'a 'ä̀t'äji porque tu mirá juínch'i ngéka m'ajñíni dyà	K'a jñíñi b'ǚb'ü o lugar k'o sagrado jângo ndá pa xôrüji ts'ák'a k'a níts'im'i o ngéje k'a o ts'íjk'a p'ídyá'a o t'ö́ji yó mbáxua ñéje jângo pédyéji yó bíjtu yó síño b'ǚb'ü nájo juájma k'a pézü ndéje k'a níts'im'i k'a níts'im'i k'a níts'im'i k'a níts'im'i k'a níts'im'i k'a níts'im'i k'a níts'im'i k'a níts'im'i k'a níts'im'i
