audio_file	reference	reference_raw	hypothesis
spontaneous-speech-bxk-47921.mp3	A eliwo bitima birambisyibwa nende kamani ke inchini yani kamafura aa chabawo chi chindika necho chabombile ebyo nabyo byosi bikhola biryo sikila binyala khucha mubyalo khungila chintiti esi emotoka ekhaba taa pili sekenyikhana yanyola batecha bakali neya niyarura musifwo taa wakhaba mulala nekhusuta mala yasuta nebisu bisutwa byowo	Omundu wekumutambo nowenya khumuyeta, onyala wakhunga babandu khusyalo, niyokhwikhale mala baa! bachanga, bachangila omundu oyo chisendi, nomundu oyo anyola khu! anyola buu! bubwangu.	Ba ebyo bitima birambisibwa nende kamani kae keyinjini yani kamafura a chabawo chichindika necho chabombile neenobyosi bikhola biryo sikila binyala khucha mubyalo mungila chinditi nesimutukoekhaba taa piri sikenyikhana yanyola bateche bakali noya onyola yarula musifu taa wakhaba mulala nekhusuta mala yasutanebsbbisitwabyo
spontaneous-speech-bxk-47928.mp3	Musyalo khukhwikhoya chisiku necholile chefuraa aaa nga krisimasi nende chichindi chifwanakho chiryo yani bandu balala bachichanga mubukhino babandi khwechanga busa mumatuli kefwe nekhunywakho kamalwa matiti babanywakho babandi bacha mumakanisa bacha baa bekhoyela eyeyo	Musyalo khukhwikhoya chisiku necholile chefuraa aaa! nga krisimasi nende chichindi chifwanakho chiryo yani bandu balala bachichanga mubukhino babandi khwechanga busa mumatuli kefwe nekhunywakho kamalwa matiti babanywakho, babandi bacha mumakanisa bacha baa! bekhoyela eyeyo.	Bhushala khukhwikhoya chisiku necholele chefura a nga krismasi nende chichindi chifwanakho chiryo yani bandu balabachichanga mubukhino babandi khwichanga busa mumatuli kefwe nakhunywakho kamalwa batiti babanywako babandi bacha mumakanisa bacha babekhoyeleyeyo
spontaneous-speech-bxk-47933.mp3	Mubirekere aa khulome khuri byebulamu ekhoyele bandu nebasaba mukhono mala beyika byebulamu nebili lufu nga lwa-covidi lukendela mumbewo lufula yani nga sikhololo bandu bamanya nga nebelinda nebacha mwitalilo ne-enya khwasimula watilakho emunwa	Khuchuma ikholanga ekasii aa! iyebyasara bititi ngaa nobone nendikho nende khawoteli nenga walekhile ebyo, ekholangakho nende byebulimi nenyolakho sindu sititi.	Bubirekele akhulo muburi nabyebulamu khwele bano nebasaba mukhuno ayika byebulamu nebili olufuu nga bakovidi lukenda mumpewo kufulaneyanikh sikhololo bandu bamanya ngenebelinda bachimwidwalilo nenya khwasimula tilekhemunwa
spontaneous-speech-bxk-47955.mp3	Aaa kamasomelo khubindu byekhuu byebaleme oba babandu bakhenyala nabi mubulanu tawe mungeli yekumubili buleme bwekumubili aaa balikho nende basomesi babasoma khukhola oba khulolelela ababandu be babemenyelesya ne babayeta mukhuwamba nemubulamu bwabusyele	umwami yesi kenyikhana warekeresha babandu bewe sikila niye aaa obarangilila ari noharekeshe tawe, aba somanya nibo orangirira tawe, sikila nibo orangilila benyikhana bakhubolera newamanya ubayeta oryena, butinyu siina nibwo bali ninabwo	B kamasomelo khubindu byekhu byebaleme babandu bakhenyala nabi mubulamu tawe mungiliyekumubili bulem bwekumubili  balikho nende basomesi babasoma khukhola ubwakhulolelela babandu ee baki babeme nielesa ela babayeta mukhuwamba nemubulamu bubusyeli
spontaneous-speech-bxk-47959.mp3	Bilyo bino aa bandu bafurisya lukali bibechanga byesizoni mala nga yolile khulima yee sebabechanga nechisendi chekhulima tawe mala bumicho bwosi beyi kali emboleya yosi beyikali mala chisendi sechibawo taa	Khawukha khamunyafu aa! basawo bakhubolelanga bari kenyikhana wepimisya ngoli omunda yekimyesi kitaru.	Bilo bino abandu bawa kurisa bukali bibechanga byesisoni mala nga yolele khulima aasibabechanga nechisende chekhulima tawe mala bumicho bosi beyikali embola yosi beyikali aa chisende chichibawa ta
spontaneous-speech-bxk-47967.mp3	Bamayi bawa lukosi lukali bawebwa lukosi lukali nono lukosi chana balwonakisha nga baninilila basakhulu babwe khulukosi yani serekari ekhoya yarawo nayo engeli esikhureke-esibarekeresha bakosi khukhwilocha khwabwe esi bakelema	Chekapu yabuli mbuka, yani aba wipimisya buli mbuka, sikhuyeta wamanya afiya niyo olinayo elabutinyu sina nibwo onyolile mubu mubulamu bwo ela olakhola orye butinyu bwakhangu wabutila khangu wabukholakho nga bukhayimba tawe.	Bamayi bawa lukosi lukali bawabwa lukosi lukali nono lukosi chana bwalonakisa nga baninilila basakhulu babwe bulukosi yane serikale ekhoyo yarawo neye engeli esikhureke esibarekeresa bakosi hukhwilocha khwabwe esibakeremo
spontaneous-speech-bxk-47971.mp3	Omusali womwana ofwana aryo emulanga imuwa kamakesi indi alole bakansala bayete omwana omusoleli wewe nakhalolile bakansala taa ayile omwana yuno mwisikuli sye aleyi amurusye busa mu mu mubikosi bisyalimo bisyamanyanile ninabyo	Babana kiminiongo bekhalanga nebasakhulu, abulalakho basakhulu nebabapila chindikha, abundi wabakelesyela nga khukhola kimikholo aa! syekhunow! syekhubonelakho kimikholo nga kyesikhebo nekyolile, babana khuba nabo ela babona byesi bakhulu bakhola. 	Bmusali womwana faa naryo emola emuwa kamakisi endye alelole bakansala bayete omwana omusoreluyo neakhalolele bakansala taa ayile omwana yino mwisikule syealeyi amuruse busamomuubikosi bisali mo bisamanyanile nendabi amuyilekhatayikho mala anyole bikosi bilayi
spontaneous-speech-bxk-47978.mp3	Ebukanda chitini chindala chibola chili semwenya mwachanja omwana taa sasa basawo ebukanda bafuna esyida engali sikila	kawaita, nochakhukona, ngokhakona taa fwe besisecha, aa! khwamanyilila aa! khulotangakho anjje nekhuchelewelekho khunyola basoleli nga bakonile namwe babana lakini obachekakho nomalile obata wabenyusya mwalombakho asii wesinga nocha khukona.	Bibukanda chitini chinala chibola chiri semwenya bwachanja babana taa sasa basabubamo ebukanda bafuna iside ngali sikila chindwale chindale chichila khubandu babakhakana babachanja babachanja taa sasa bandu bafwa lukali sikila bandu balala bayekisa sebenya bacha ati babu ta
spontaneous-speech-bxk-47983.mp3	Eee khusoma khwarungilekho khuchowachowana khwekhusyalo khwefwe babana ari basi si basoma bamanya kimilimo kyekhukhola nga kyekamakhono kyekhulima khulayi nende khufuyilila bilyo byefwe nekamalesi	Bilyo bimala nga sekhuli nabyo taa, aba khuchichanga busa khukulanga busa khusoko, yani sikhulu kasita wabamo nelimotole, chisendi nicho waba omanya oli onanyola syakhulya sikila mumatuka, khusoko khosi bibamo.	Kkhusoma khwarungilekho khuchowachana khwekhusyalo khwefwe babanaari basoma bamanya kimilimo kyekhukhola kyekamakhono kyekhulima khulayi nekhufuwilila bilyo byefwe nekamalese
spontaneous-speech-bxk-47994.mp3	Babami kumulimo kwabwe khukhupilisya babekhali babona bari khusyalo buli mundu buli mungo mubamo a echoo mubamo byebulamu birumikhilwa yani nende buchafu lwekhubusyanisya abundu alala tawe babona endeli yekhumwata buchafu obwo engeli yili safi	Babandu baba nende buri mubandu oba burye mubandu, babanabo khubakhongelesya khwabakhola busale, ngawabakholele busale mala wabakhola baba nebumanyilifu nine omundu niye babane nabo balimo nekumwiyikino ari babandu abobo nga sekhubarafwirakira tawe, khubakelesyila busa kalaa khukhwola nga nibamanyila.	Bubami kumulimo kwabwa khukhupilisya bebekhali babona bare khusyalo bulimundu buli mungo mubamo ga echo mubamo byebulamu bilomukhila alo nende buchafu kuloba khubusanisa abundu alala tawe babona engeli niye khumwata buchafu mungeli eesana
spontaneous-speech-bxk-48047.mp3	Enjisaya yayetile babandu khukwara bulayi nende khu khumanya wele nga bakwara chingubo chindeyi chikharera chisoni mu mubandu ba barara babwe taa ari babandu ari babandu bakwara bulayi bakwara chingubochindeyi	Bikosi oba chikurupu, lu! abulala ee! abulala chiba chinday, omwana aruramo burii wananikha nekhurambila alala nebabandi nee! ochunga sikila bikosi bi! bisela bikali bikisya chisambo chimbi.	Bnjisaya yayete babandu khukwara bulayi nende khukhumanya wele nga bakwara chingubo chindeyi chikharera chisoni mumubandu babarara babwe taa ri baa ari babandu bakwara bulayi bakwara chingubo chindeyi
spontaneous-speech-bxk-48061.mp3	Bilyo bimala nga sekhuli nabyo taa aba khuchichanga busa khukulanga busa khusoko yani sikhulu kasita wabamo nelimotole chisendi nicho waba omanya oli onanyola syakhulya sikila mumatuka khusoko khosi bibamo	Chingubo khuchilinda nga chindayi yani okhoya kwanza aa! nechiba nga chisinge yani buchafu mungubo okhoya wepukana nabwo kapisa abundi ngawamalile chingubo chino kenyikhana nokololakho nga wakolole biwukha bindi ngabikendelamo nebifwa mala wabikha bulayi mwipox.	Kilyo bimala nga sekhuli nabyo taa abakhuchichanga busa khukulanga busa khusoko yanisikhulukasita wabamo nelimutole a chisendi nicho basi aboomanyiolu nanyola syakhulya sekilo matuka khusoko byosi bibamu
spontaneous-speech-bxk-48070.mp3	Omundu wekumutambo nowenya khumuyeta onyala wakhunga babandu khusyalo niyokhwikhale mala baa bachanga bachangila omundu oyo chisendi nomundu oyo anyola khu anyola buu bubwangu	Kimima kimibi khuloba khurya sisindu syomundu sikhali sisyowo tawe, ela sisindu syosi sikhali sisyowo, sibakho omwene mala omwene enyikhana wamusaba lukusa yani newasirumikhila oba newasikendelakho, Bubi sana khuloba khurya! khubamo neburi nesindu sikhali sisyowo tawe sikila akhaba serekari  yosi enyala yakhutila enyala yakhubowa.	Bmundu we kumutambo nabwonya khumuyeta unyala wakhunga babandu khusyalo niekhwikhale mala babachanga bachangila omundu yechisendi nomundue anyola bu anyolakhu bubwango
spontaneous-speech-bxk-48121.mp3	Khulinda munjju nga mumiliyu babana sebenyayila munjju taa nekhufurisya munjju beyamo nelalelala nga mwasementi munjju mwowo papa aaa khwe khusingamo mala nekamechi kosii waramo esabuni wasinga bulwale bulimo nebucha nebufwa	Aaa! kamasomelo khubindu byekhuu! byebaleme oba babandu bakhenyala nabi mubulanu tawe, mungeli yekumubili buleme bwekumubili aaa! balikho nende basomesi babasoma khukhola oba khulolelela ababandu be! babemenyelesya ne babayeta mukhuwamba nemubulamu bwabusyele.	Bhulindamo chunga mumiliyu babana sibenyela munjjhu taa nekhufurisya unjjhubeyamo nelala elala ngamusimenti khunchumopapa aa bwekhuwosingamo mala nekamwechikosi waramo sabuni basinga bulwale bulimo nebuche nebufwa
spontaneous-speech-bxk-48127.mp3	Mumyaka kirano nibona ngaa nombekhile enjju endayi incha khubyala kimisala ango wange kimibalayi kimikali kimyene ikiki niye esi pulani yase yekimyaka kirano	Wahile huba nende esambo endayi yehubonelaho sikila nibo nga barangilisi aaa babami ewewe oba ebweni amala waba busa nesambo busa endayi, kimima kyowonono nono kyaba kimibii, nebabandi namwe babami hufurisha babonela hwisiwe mala baba nekimima kimibii	Eumyaka kirano nebonanga nombekhile injju endayi ncakhubyala kimisala ango angi kimibalayi kimikali kimyenda kekiesipulaniyase kimyaka kirana
spontaneous-speech-bxk-48137.mp3	Bandu bali nende buleme khubayeta mungeli indi aa babapilisya khucha esomelo	Mubirekere aa! khulome khuri byebulamu, ekhoyele bandu nebasaba mukhono mala beyika byebulamu nebili, lufu nga lwa-covidi lukendela mumbewo, lufula! yani nga sikhololo bandu bamanya nga nebelinda nebacha mwitalilo, ne-enya khwasimula, watilakho emunwa.	Ebandu banende buleme khayete mungeli indi a babapisya khuchesumilo nekumusomelo kosi sibaa nebawolelela mungeli yefu bafanasta yekhubarisa taa akhaekhubakenbelesa nebulama musomelo busiebobomee
spontaneous-speech-bxk-48143.mp3	Yee sikila babana sayi khusyalo syefwe ba ba basoma bafuna chikasii sasa khukhwikhala busa nebanywa enchaka syanchusyile sebiliwo taa onyola babana bali bise bachaka khuramba chikasi chabwe nono bafwiti babasikalewo bano nibo bakenda khudripu	Bilyo bino aa! bandu bafurisya lukali bibechanga byesizoni mala nga yolile khulima yee sebabechanga nechisendi chekhulima tawe mala bumicho bwosi beyi kali, emboleya yosi beyikali mala chisendi sechibawo taa.	Bye sikila babana sayi musyalo syefwe bali bas basoma bafuna chikasi sasa khukhwikhalabisa nende banyolo nchaka sachosi sebiliwo taa unyola babana bali bise bachaka khuramba chikasi chabwe nono bafiti babasikalewo nebo bakenda khutrila
