audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	aI a I loved o bein a professional gimnas I used o obin I was yang de flips but ind cart wols bit mo do you know professional and years ago we the opportunities of diffirint nevirdas shou know we dino have these kind of our classes to goto but anyway I di take the opportunity when I was in my fortis I gimnastic coch e the kids told me as sho goto an adolt class in belahustin so I dats I decided to go and them there was a grat we coach hazol she was professional and she encouraged me as I told ar Id livd i to flip she says whil you goot the fisike you’v get the energy so she was so good it help me to visualise ginin to this bulpit wir on a trampling so me jump ing the trampling she’s disvisualise Idolping and it help she flipingto the so you’r flitting into the bulpit what I failing she was so good to know that encouragement and first I was all over the place anyway so that was great to get that opportunity
spontaneous-speech-sco-31052.mp3	Whe- when I was young I was brought up in this tenement up until I was five and then my mammy got this hoose um and it was up and doonstairs Oh my god it was like as if we’ve moved into a mansion We- we had um it was like a five bedroom house but the up- going up and doonstairs and we had a porch which it was great ‘cause see if it was raining me being with five brothers you know we would play football in the porch you know it was just really happy memories It was just a nice- we had a big garden at the back we had a front garden And coming fae a tenement when you’re young is- I’ve got vague memories of that ‘cause I was really young but you know where I was really brought up- the house that we were really the memories were made was in that up and doonstairs home It was so- it was s-such a transformation	wher and when I was young I was brought up in this tenament up til I was five and then my mamma got this house Em it wat was uppin down stairs o my god it was like as if we moved on o mansion we we had tem It was nat a five bedroom house but ha  going uppin down stairs and wed a porch which it was great coceve it was rining ma being we five brothers you know we would play foot both ing tha porch you know it was just really happy memories it was just a nice with the big garden at the bak with the front garden and coming fa tenament when you’re young as I’ve got vig memories It was Ire really yung but you know when I was really brought up the house that we were really the memories wor made was in that uppen down stairs home it was so it was such a transformation
spontaneous-speech-sco-31055.mp3	Oh- my- I love my- I love my wee Jackson That was my wee French papillon my wee dog But he- he passed away two years ago but do you know he’s- he was just so protective towards me He also- ‘cause I was always- if I was at work or I was buzzing aboot- I would sit doon at night and he would make sure he pounced on me to get me thinking “Oh that’s me I’ve got her noo” Anyway one of my daughters would say “you’d think you bored him” as if he was my child – he was just lovable But anyway he passed away So my pets are my grandcats and my granddog I’ve got a wee dog that um one of my daughters have got and I’ve got two cats two other daughters have got And I’ve grown to love the cats I’m no a cat person but I’ve grown to love them and my other wee dog	oh my a lof my a loft my we jacks nims my we farang ba poand my wee dog but ethet hou passed to way two years ago but you know he was just so protective towards me o al so ‘cause I was always that if I was it work ar I was bodinabuut I woud sitdin at nigh and he would make sure he poundsed on me to get me thinking o ats me I’ve gotin a enyway win of my dogts wa say you think you bort him sif o was muchild he was just loveable but enyway he passed ta wa so my pins ar my grand cats an my grand dog Iv git I we dog Um wone of my dogts of gor n I’ve git two cats to other dogts of wort and I’ve groon ill of the cats Im no I cart person  ’ve groon ill of them and myther we dog
spontaneous-speech-sco-31061.mp3	A typical day for me is- so I watch the grandsons every noo and again and honestly they keep me fit So I get up every day and what a typical day for me is- I’m in a wee routine you know I get up I keep myself active you know I’m an organiser so I’m always on top of everything And then I’ll go and get the grandkids fae school or nursery and then I’ll go to the skateboard park and then I sometimes think I’m still twenty and I skateboard with them- gave myself concussion the last time I was there so I’m no doing that in a hurry And I go to the swing park with them and I run ab- y-you know it’s really lovely just to have the- the time to spend with your grandkids that there’s no pressure You’re there and you’re at ease you’re at peace So that’s my typical day	I tipical day for me is so I watchd the grand sons Ivriing ring again and honestly they keep me fat so I got up every day and mat mI tipical day for me is Imanof or routing you know I got up I keep myself active you know I’m an organizer so Im al wasn to op everything and ana going o get to grandcuds for scool or nostary and ana go at te scateboard park and ana some tings think I’m stol toint e and a scapeboard wa them gave myself congratuing the last thime I was thers ton mo doing that mo bory and I go at h s ing park with them and I run abt an ou you know it’s really lowfully just if the the time to spend with your grand cuds that there’s no pressure you’re there and youre at east you’re at piace so that’s my tipical day
spontaneous-speech-sco-31069.mp3	I like to try and save some money on things that are- like say for example eh heating’s very expensive the noo but I just feel I’ve got a big onesie I’ve got jogging troosers with fur inside Do you know that way I know it sounds crazy but I just feel- Also I think people go over the top buying too much I always say less is blessed so I’m very economical that way And I think a- again it’s because when you’ve been brought up with a big family you’ve had a big family you appreciate the small things in life so I’m quite good at saving	I like to tryand save some money on things that are lik safe for example eo heatings very expensive tin but I just feel Iv got I big wonsay  I’m get jog in rosins wa foresif do at way I know itis Im’s crazy but I just feel also I think people go for the top bind to o much I alwas say less is blessd so I’m very economical thatway and I think you aganits because when you’ beeng brought up wit a big family and you’ve had a big family you appreciate the small fings in life so I’m quite good at tha saf
spontaneous-speech-sco-31073.mp3	One of the stressful things I would experience in a workplace one of my jobs years ago was how people speak to each other You know the stress that people would feel because they had this fear of like a boss coming towards them or people in a different position- they would just crumble and that- I would be stressed for these young people so I would go and challenge them I'd think it was unnecessary I thought don't treat somebody how you don't like treated yourself So thankfully I did always have that courage in places of work where I just thought no- nobody's treating somebody like that- I could not tolerate it so- but it was stressful because you were taking risks as well	oneof the traceful thinks a wid th experience and I work place won imagia ars ago was how people speak to each other you know the stresce that people would feel because thea this fear aryou like a bos comment towards them or people in a diffirint possession they wee just crumble and tha that I would be strece for these young people so I would go and challenge them I think it was unnecessary I fough don’t treat something how you don’t like treatag yourself so thankf I Id alwas have that courage and places I work where I just fought no nobdis treating something like that an f a could not talk i at it so but it was treceful becaus you wer taking rest as well
spontaneous-speech-sco-31076.mp3	Maist precious object I own is eh ain of my guitars it’s um it’s a guitar I’ve wanted since I was a wee boy eh maybe for aboot twenty-five year or something I’ve wanted this guitar and eh ain of my pals bought it for us for my thirtieth birthday ain of my pals won a bit of money and he thought ken what I’m just going to buy that guitar for him and that’s what he did surprised us with it and I couldnae believe my eyes eh and if my hoose was burning doon that’s the one thing I would run back in and get would be that guitar It’s beautiful it plays amazing and it’s got a lot of sentimental value as well ‘cause my pal bought it for us aye	miss precias object e own is e ina my guitar’s it’s m as a gitar Ive wantid since I was a wea boy E Eh maybe for about twenty-five year or someony Ive wanted this guitar and m in mapal’s bot t far us for my thirtith pirthy in a ma pal’s one about a money and he thought kam wa I’m just goingto ba that guitar for im and that’s what he did surprissed this we yat and I couldna believe my is E and if myhos was bunn and doing that’s the one thing I would run back and ang get would be that guitar it’s beautiful it plays amazng and It’s got a lot af cent of mental value as well cause ma pal boght it far as I
spontaneous-speech-sco-31080.mp3	I’ve aie wanted to be retired eh this business of working does my nut in really I’m no interested I’ve not got drive like other folk do eh I jus- I used to spend a lot of time at my gran’s and I thought this is a braw life she’s got ken doesnae do much nips doon to the shops comes back watches Trisha if you’re old enough then you’ll ken what Trisha is watches Jeremy Kyle watches a bit of Countdown and that’s her makes her tea and that’s it simple life and I thought that would be braw ken just to take it easy so I’ve aie wanted to be retired and I cannae wait just aboot another thirty year and that’ll be me	ev I wanted to be retired Eh thit’s business I working dos my not ind really Ia’m noin rest he divno got drive like other fout da Eh I u used to spend a lot of time at my grands and thought this is a bra life she’s got king dosn a da much snaps doin a teis shops comes back watches trusha if you’re eld enough thing youll kom what trusha is watches Jeremy kail watches a bit a count down and that’s har maxar to and tatsats samtof life and I thought that would be bra kan just to talkgit easy so EhI wanted to be retired and I cana wait os tid bit another thirty year and thatll be me
spontaneous-speech-sco-31124.mp3	My favourite film’s Chicken Run and if you disagree with that then there’s something wrong with you ‘cause it’s quite clearly the best film in the world if you ask me Animated chickens I mean what else what else could you ask for that’s just fantastic it’s Aardman that do it so ken them that dae um Wallace and Grommit and eh it’s the struggle the strife and struggle of these chickens that are a’ cooped up and how they want to escape and- and have freedom and live their best lives and I just think it’s absolutely marvellous so yeah that’s my favourite	my favourite films chicking run and iv you dis agree with that hen there’s oming nong with you ‘cause it’s quite clearly the best film in ta world ive you aske me animati chickins I mean what else what else could you ask for that’s just fantastic it’s artman that de it so kan them that they um wals and grom it and e it’s the struggle the strife and struggle it es chickins that are a coped up and how they want to escape and and hove freedom and love their best lives and I just think it’s absolutely marvelloss so eh that’s my favourit
spontaneous-speech-sco-31127.mp3	A perfect weekend for me would be chilling Actually I’m an extrovert right and I’m a people person but see at the weekend because of where I’m at noo in my life I just love peace and tranquility and going a wee walk in the park you know seeing nature just chilling The silence is golden as they say and for me that’s an ideal weekend Just to enjoy nature going a walk and then chilling at night if- I love watching Strictly at the weekend when Strictly’s on	I person weakin for me would be chilling actually I’m an extra vert right and I’m ma people person wo see they weakend because of wer mantin in my life I just love peace in tranquillity an going aha we walk ing ha park you know seen nature just chilling  as the silence is golden is the say and for me that’s an ideal wekend just till enjoy nature going to walk and then chillin at night if I lov wach ang structola t to wekind fan structulison
