audio_file	reference	reference_raw	hypothesis
spontaneous-speech-tob-34711.mp3	Da laqtaxanaxaq so huau qalquionecpi eta Ietaqta ndoteq añaxaicpi qaica qa ivecteq qaiqa ca saha'non ndoteq da lasapachaxa na naa' cahuataguet na n'te nache uxute nottesheguem nañamaxateq ihehiamaxatiguiñe na loquianaxate l'cheqneq enauaq na lentaxanaqte caiqa ca l'lia cailaque ndoteq ualeq na nenaxa shiguiaqpiolec cataq napaxaguena na da huoo' qa adaqtq ioctaha da ahesa unoleq so laqtaca so qaitataleq ipaqchegue cata huoo' na canchiguiñe nache vanhuachegue camachaqatee' na nollecolec ca eca canclaxachegue cam machiguiñe lamaeeq so naa' caica so canbane so laceguee' ca la maeeq huoo'	Aiem sa aioxo da iapay da ñocpita naxa so lomaxaqui lapaxaiq cataq iamaxaso laraxaic iataqta ñoqpita 	Aa l'aqtaxanaxac sohua qaqilxonecpi eeta' itaqta ndotec  añaxaicpi qaica cmiiuettac qaica caetasanon ndotec da lasapachaxa huo'oyna qaiataguet na nte' nache oxote nottashiguem naamattac ýaiamatrapiguiñi na lloqaxanaqate lcheqenec enauac nam l'onataxanpiolec qaica ca l-laqailaique ndotec naualec nanonaxa shguiyacpiolec qataq anapaxaguena na da huo'o calaqtac nache laqta'amesa oonolec laqtac somqaiatatalec nacheipacchigi qataq huo'o naqaiachiguiñi nache qanuachigui qamachaqcata' qaiachiguiñi ye'na nallecolec qaq qanlatchgui qaq machiguiñi huo'oda namaicyena qaca saqanauani aca lasheuoli qalaxaye renamaxcaltarac huo'o a
spontaneous-speech-tob-34712.mp3	Yem ima' hua'auchiguiñi le'enaxat Chaco yem eye ima' Chaco iaqaqta qaialoqta ra napo huo'o naxa ra nvi' ne'ena napo iapagaq qataq ra huotaique auot nache iataqta anac ne'ena napo igo'pe ra aulota'aguet cha'aye napalñi ne'ena napo	Na lyia naqtahuo ñeñiamaqtaxaguet cha aye ñecoñaca na ioquiaxaneqpi maye qaiotta ye hueteña Ñamaqtec	Aae ima' huauchiguiñi le'enaxatchaco ye iye ima'chaco iataqta qaialoqtadanapo huo'onaxa da nvi' ne'ena napo iapaga qataq da huotaique qauot nache iataqta anac ne'ena napo icope da aulotaaguet cha'aye napalñi n  iiii
spontaneous-speech-tob-34713.mp3	Na ilogue nam chaalataxac nache na huo'o ra nateteguet nam nauochaxaua nache huo'o ana lqataco ra am enega enac iataqta qaica ca l-lla auacona ra ana paxaguetac auo'onaxan mashe am qaiachaxatega se'eso no'on nqaic ye na'aq auaiamaxatec ca napaxaguenataxanaxac so qarataxala'	Qom aýem ýi nache sauotaique ñimatic ñisooñi cha'aye som eso i'onataxanaxac ýataqta sapa'atta so pa'atrec vi'i'ye 	Aa illoague na chalataxac  nache  na huo'o da nateeteguet namanauochaxaua nache hue'enaataac daamnega enac ýataqta mqaica calia auacona daanapaxaguetac aonaxan mayhe amqaiachaxatega se'eso no'on nqa'ac yena' auaiamaxattec cam lapaguenataanaxac s ai
spontaneous-speech-tob-34714.mp3	Aiem iataqta lta'araic ra ñaquitaxac cha'aye nam ena qatataxala'pi huo'o ra la'aqtac ra huo'o que'eca ltaunaxanaxac ra que'eca qaica ca lo'onatac nache huo'o que'eca anacta no'onataxanaxac nam ena enauac na shigaxauapi qaica ca lo'onatac nache huo'o ca lo'onatac	Aýem da huo'o cam iqataxat taia cam eca ñauochaxaua da qoýoqta ca hueta'a nache onaxaic da ýaýamaxaañi ca luennataxa	Aaem iataqta lta'araic da ñaquitaxac cha'aye namena qarataxalapi huo'o da la'aqtac da huo'o que'eca ltaunaxanaxac da que'eca qaicacalo'onatac nache huo'o que'eca anacta nonataxanaxac namena enauac na shiaxauapi qaica cal'onatac nachehuo'oc  aiii
spontaneous-speech-tob-34715.mp3	Dam i'ot da nqochoxo da chalataxac da cam qadqaya da selaqa'a nache huo'o da nqochoxo cha'aye sa selaqa'a nache ñiqonaxa nimitaxaique qadañiuanaxaic da qaica ca machacqa nache huo'o de'eda qadamaic huo'o da machiguiñi da shenaqta cha'aye no'oita cam eca qadqaya i'ott da qadqochoxo	Aiem iataqta ram era lapaxaguenataxanaxac aso iate'e ra auque'e ishet ra hua'auñi ra auioi na arhuaxaye era lapaxaguenataxanaxac	Aa io'ot ra nqochoxo da chalataxac da cam qarqaia ra saselaqa'a nache huo'o da nqarqoch cha'aye saselaqa nache ñeqo'onaxa ñimitaxaique qaq da ñauanaxai da qaica camachaqca nache huo'o deda qaramaic huo'o da machiguiñi da shenaqta cha'aye no'oita cameca qarqaa io'ot ra   a
spontaneous-speech-tob-34716.mp3	Souaxat da ivita da ýaguec so ñitonaxac da ñauane' so ýaqaýañicp enauac se'eso huetaña so laponaxac nache huo'o na qaioqtegue da sa ñauane' qaq iviteega se'eso laponaxac nache ñauane' enauac na ýaqaýañicpi machiguiñi	Som iqueroxonecpi ýapi' qataq aso icote aýem ýapaxaguenec hua'auchiguiñi ra l'enaxat aso la'añaxashe lashe	Aaem oaxat da ivita da iaguequsetonaxac da ñuane so  enauac se'eso huetañasoaponaxac nache huo'ona qaioqtegue ra sañauane qar iviteega se'so laponaxac ye ñaaneenaac a h ai
spontaneous-speech-tob-34717.mp3	Aýem da selo'ogue da ýioguiaxac nache sa ishet da camachaqca sachec ndotec da sachec nam ne'ena no'oita nallec sa ishet da ýaguec que'eca toue qataq ne'ena nallec qaica ca ýataqta huetaigui ne'ena l'cheta	Aýem yiqopita aso ýiua cha'aye can cheta'ague sauatton ñaq qa'añolou qataq onaxaale qaq nagui ñaq eetalec yiqopita	Aaem da selo'ogue da i'ogiaxac nache saishet da camachaqcasahec dotec da sachec name'ena no'oitanallec saishet da iague que'eca  toue qataq ne'enanalec qaica ca iataqta uetaiguinena ai
spontaneous-speech-tob-34718.mp3	Aja' anam paxaguenaxaquipi eesa iotta'at na na'aqtacpi huo'o ana pilagá qom wichí guaraní nam huapiguiñalo nam souaqta'	Va na ma iactaqa sachexotaie na iatee,itaa,iape,iqome enauaq na ioquiaxaneqpi ye sobactaa	Aa mpaaguenaaquipi eesa iotta'a na natecpi huo'o na pilaxa qom uichi uarani namhuapiguiñalo anasoaqa aii
spontaneous-speech-tob-34719.mp3	Hua' yim 'ima' da huo'o que'eca shiýaxaua ileetapigui' sa no'oilec nache qaidoua cam eca shiýaxaua natannaxanaq nache pa'aiguet da 'yahuo'o ca lata eda dam eda yim qadma' saq ýit da huo'o ca shiýaxaua sa no'on nache qaýiaxana que'eca natannaxanaq	Se'eso na'a'q ýoqta yiqopita da so'onataxaatapigui som n'omaxa taq so l-lla eeta' latomaxa cha'aye qalota na ishet da au'ot na maiche yi'oqchihui ad'onatacpi	Aa  ima' da huo'o que'eca shiiaxaua ileetapigui san'oilec nache qairou'a cameca shiiaxaua natanaq nache pa'aigue da iauo'o camlata era dame'era yimqarma saxagi da huo'o ca shiaxaua sano'on nache qaaxanaqueca  aa
spontaneous-speech-tob-34720.mp3	Naua i'aqtaqa qom l'aqtaqa chegaqaiguilo soua iquerodoxonqa qataq so iapi qaq naugui nas ñauanaxaic na doqshe l'aqtaqa nataq'en chita'ague ñapaxaguetegalo	Hua' saxat so yo'oqchigui intesoqo' ra so na'aq ra ivita ra aiem nsoq nache iapaxaguenec ra qañipiaxac ra selaqaique na mañec cha'aye nachera ra onolec ego' qaro'onataxanaxac ra qomi' nsoxopi	Aa yaqtaqa qomlaqtaqa chiaqaaguelosoicdna qataq soiapi qaq nagui na ñauanaxa na loqshelaqtaqa nataqencheta'ague da
