audio_file	reference	hypothesis
spontaneous-speech-ukv-31397.mp3	'bulit nagon mede niyaŋ a pujö i sukuluöt na sulua ko tökö ko ŋutu ti jur na a kona na kitajin ti sukulu 'bakan na gurut ŋutu kulo lo konda kita na a koko konye' roba gurusu	'bulit nagon mede niyaŋ na yi pujö yi sukuluöt na suluwa ko tökö ko ŋutu ti jur na a kona na kitajin ti sukulu bakan na gurut ŋutu kulo lo konda kita na a ko ko nye roba gurusu
spontaneous-speech-ukv-31402.mp3	ko yi a denunda ŋutu lo gboŋ ko kpiyesi' ti ret lo yola' yi gbenge ŋutuu ti gboke tikinda lepeŋ lo i mugö na kutuk nayit na ko lepeŋ lo yoyola' yala tomuerk a yi joŋara lepeŋ i kadi na wini	ko yi a denunda ŋutu logon bgoŋ ko kulyesi ti ret lo yola yi' gbeŋge ŋutu ti gboke tikinda lepeŋ lo yi' mugö na kutuk nayit na ko yoyola' yala' tomurek a yi' joŋara lepeŋ yi kadi na wini
spontaneous-speech-ukv-31412.mp3	ŋutu luwalet ko yiŋga lure yi diŋitan kune liŋ ti yesi ŋo logbon jonda riŋit ko lepeŋ yi mugun ni ŋo gbeŋge 'diloŋ na gbanda na mora ko maasika a ko 'döti naŋ gboŋ ko suruba	ŋo' toluwalet lo ko yiŋga lure' diŋitan kune liŋ lepeŋ ti yesi' ŋo' logon jowunda riŋit na'bijo ko lepeŋ mugun ni ŋo' gbeŋge diloŋ na gbanda na mora ko maasika a ko'deti' naŋ gbeŋ ko suruba
spontaneous-speech-ukv-31421.mp3	kita nagon mede niyo' a kokon yi midijin ti kule' ŋutui yi jur ni na yi wulundö na sukulu a togeleŋ na kogbon sukulu na nye nagon a kiko' lo ŋo' liŋ	kita naŋ mede ni akon yi midijin ti kulya ŋutu yi jur ni na yi wulundö na sukulu a togeleŋ na kogwon sukulu na nye naŋ kiko lo ŋo liŋ
spontaneous-speech-ukv-31446.mp3	gurusutöt niyo' naŋ nan pujö nye na a na'dit 'nde'ya kadi	gurustöt niyo' naŋ nan pujönya na a na'dit nan de a kadi
spontaneous-speech-ukv-31448.mp3	yee nan wöwögu tom lo yoloni rinö tom naŋ nan wowok 'bura' lo a tekeyek	ye nan wowoggu tom lo yoloni rino tom naŋ nan wowogu ura lo a tekeyek
spontaneous-speech-ukv-31449.mp3	ye kaaŋ gboke ni ŋutuu kulo si'da a lo'but ko kule' ŋutuu ko kulo gboŋ ko toyiŋakin ko 'börik ko tuŋarakin ko 'börik i ŋo' ka'de ka'de nagoŋ pupujö iya ŋutu' kayit mede yu kaaŋ gboke ni	yee kaŋ gboke ni ŋutu kulo si'da lo'but ko kule ŋutu ko kulo bgoŋ ko toyiŋakin ko'börik ko tuŋarakin ko'börik yi ŋo' ka'de ka'de nagon pupujö iya ŋutu kayit mede kaŋ gboke ni
spontaneous-speech-ukv-31460.mp3	kenda na a ŋarakinda mede niyo' na yi diniki' na ŋariyesi' kaŋ gboke ni nagoŋ to'durönikin jur a tikinda ŋutuu kulo kuwe gboke ni a den lilija na ŋo' na 'but ko naron ko kikolin kade kade' logoŋ ŋutu rugini kulya yi gboke lwölwöŋ mörö	kenda na a ŋarakinda mede niyo' na yi diniki' na gayeresi' kaŋ gboke ni nagon to'durönikin jur a tikinda ŋutuu kulo gbe gboke ni a den lilija na ŋo' na'but ko naron ko kikölin ka'de ka'de logon ŋutuu ruggini kulya yi gboke loloŋ mör
spontaneous-speech-ukv-31479.mp3	nan tiju 'börik ko mede nio anyen gboŋ a moka ko malaria i kikölin ka'de ka'de togeleŋ mede na ŋutuu kulo liŋ toto i tandaruajin kata tomirek piöŋ nagon liliwatu i diliö ko i supalan 'di'diya kaŋo tomusala döru lo gboŋ i borni kulo 'bitö kaŋo	nan tiju'börik ko mede niyo' anyen gboŋ a moka ko malaria yi kikölin ka'de ka'de' togeleŋ mede na ŋutuu kulo liŋ toto yi tandaruwajin kata tomurek piyoŋ nagon di liwatu yi diliö ko yi supajin i'de a kaŋo tomusala tooru lo gboŋ yi borni kulo bitö kaŋo
spontaneous-speech-ukv-31508.mp3	a kayuŋwö kuwe kulo kekenakinda ŋojik 'bulit na kenda na ko a nyo ko tojuwesi' nagon kule' ŋutuu logon ake kenda ko gboŋ dinyo tomurek kayuŋök kulo e ŋo ti sukulu logon ŋojik kulo mimindi ti koko galaki galakin ŋo gboŋge bukan	a kayuŋö kuwe kulo kekenakinda ŋojik bulit na kenda na ko a nyo ko tojuwesi nagon do kulye ŋutu logon a kekenda ko gboŋ di nyo to muret kayuŋö kulo ee ŋo ti sukulu logon ŋojik kulo mimindi ti koko galaki galakin ŋo gbeŋge bukan
spontaneous-speech-ukv-31517.mp3	ŋo' na'but naŋ mede niyo' a puun yi piritön ti gboke momoresi' kune a gbiyari lo'but loŋ ŋutu' to'durundi ŋojik ui kikolin lo'but logoŋ koko 'durundö a ŋutuu nahoŋ kotumalu ŋaŋarakinda jur	ŋo na'but nagon mede niyo' a puun yi piritön ti bgwoke momoresi' kune a gbiyari lo'but logon ŋutu to'durundi ŋojik yi kikölin lo'but logon koko'durunda ŋutu nagon katumalo ŋaŋarakinda jur
