audio_file	reference	hypothesis
spontaneous-speech-ukv-31397.mp3	kenda na tinda ŋutu' koŋon ama nagon koŋon na nagon ŋutu' aje pu na ŋutu' ŋaŋarakindi jur lo yi parik yi kulya ti kelen ŋutu bubulö tukurukindö koko kulya ti kelan	e
spontaneous-speech-ukv-31402.mp3	yi tindu soronyö na'but ko a nake kaŋ i jur ni kune ko kikolin ka'de ka'de ko kukunda kode 'boka na sörönyö nagoŋ tokitaju piyoŋ i mukök a wasaka kunu kode' soron kunu 'biyani kaŋo a ko lalai na soronyö diŋitan kune liŋ	e
spontaneous-speech-ukv-31412.mp3	ee kenda na a 'durjö gwiliŋet lio lo a lo'but parik nan liliwa i ko'börik i konakinda na 'börik na kita niö nagan nan a 'dekuri tomurek nan wejale weja' peda na kitajin kwe'bura' tomusala nan wejale' weja tögu na mede niyaŋ	e
spontaneous-speech-ukv-31421.mp3	ti nan tugu'uki 'börik yi konda ma kitajin na 'di'dik ns 'di'dik nagon tikinda mugun niyo' na gboŋ yuyuk tomurrk ti nana konye' pokin yi wörö wörö najo anyen tikinda rima kunu boŋ yi pirit nageleŋ	e
spontaneous-speech-ukv-31446.mp3	yee nan a met de molu kenda na tetenda ŋerot na gboke liyaŋ ko ŋutulu lo kenda kulo a poonda yi pirit na geleŋ ko teili geleŋ yi todindö na kulo ŋojik lo'di'dik kulo todinesi' na'but ti kenda a koko töke tök ŋojik köti	e
spontaneous-speech-ukv-31448.mp3	ŋo narok nagoŋ ŋutú pupu i ŋarju na torob́o gboso lelekesi kune a pujä na reto katekate logoŋ ŋutú lo tokitaju kilo toro'bo kulo gboŋ ko se ret gbeŋe so'bi ŋutú weweja pundä i 'biyet na ŋutú lo gboŋ ko i lo ret	e
spontaneous-speech-ukv-31449.mp3	gboke liyaŋ lo ŋarakinda ŋojik ko kukuwesi' tinda na töyili yi kenda ko midijin kase kune yi tinda na ŋojik lo kekenda kulo diŋit nogoŋ koko kendiri bukan kase ko ŋarakinda na ŋojik ko ŋo' kase ti sukulu lo 'de'dekurikin gboso bukan galaman	e
spontaneous-speech-ukv-31460.mp3	kudu lo 'ban jon i diŋitan kune liŋ kayaɲ i gboke ni lo suluja jon i kati kati yapa topot musala i suluwet a jööjrö lakadi i perok mukanat kode' i perok puwök wot budok ti yapato puwökwot murek	e
spontaneous-speech-ukv-31479.mp3	sukuluöt kuwe bgoke ni kune ŋarakinda ŋojik logon bgoŋ ko yeyeŋesi kase i pipilet na kenda kune ŋarakinda kilo ŋojik ko todindö na kutuk lose i kurundö 'bura ŋo nagon ko a ko kurun 'bura i engilsi ni kune	e
spontaneous-speech-ukv-31508.mp3	ŋojik lo'di'dik kulo bibiryö a koko konye' lalaju könin a koko nyesi' ŋo' lo nyönyöi ko ilo könin logoŋ a lut kilo a tikindi' kilo kuru yi yeŋaddu yi moyit di wulek yi ŋojik lo'di'dik nye na jowunda ret lo 'bulötö	e
spontaneous-speech-ukv-31517.mp3	kukuwesi ti kulya na 'but na tindá ŋwojik na 'di'dik jore kulo gboŋ 'bakan na ŋo naŋ mugon na mimiyindi kune a kukuju na ŋwojik kune i dendá na ŋun a ko kukukindá na koko naŋ di 'ben ko wöwörö ko julin lorok	e
spontaneous-speech-ukv-31533.mp3	kikö lo'but loŋ tokelani sa'yu na mugun na a tu i jibitali a ŋutu puji winiko lo toliga sa'yu a ko tolubo na bongo i piöŋ a ŋutu nyadi ko ŋutu i mugun piöŋ nagon a na lilik	e
spontaneous-speech-ukv-31574.mp3	'deti naŋ nan nyanyar parik na a ŋete na yuyurö ko pasiko ko bge'de bge'de na yurö ko pondu ko sukumawiki a ko burusut	e
spontaneous-speech-ukv-31589.mp3	ŋo' lo tikinda ŋutuu yi böböŋöyi' yi kikolin ti yuganda ni kulo a wöwöki parik ako sugujö ko ŋutu' möju yawa	e
spontaneous-speech-ukv-31603.mp3	yee kenda na a lewuda tojulin na ŋutu kode' a puwet na midijin na sena diŋö ko do kune kogboŋ mede nagon ko puwet a na 'bijo a ko ŋutuu loŋ a kenda katani ŋiŋisanikin parik ko logon 'bak kenda wo 'bakan na puwet	e
spontaneous-speech-ukv-31623.mp3	'bulit nagon mede niyaŋ a pujö i sukuluöt na sulua ko tökö ko ŋutu ti jur na a kona na kitajin ti sukulu 'bakan na gurut ŋutu kulo lo konda kita na a koko konye' roba gurusu	e
spontaneous-speech-ukv-31634.mp3	Kenda na ŋarakinda nan lo yeyiyesi i puundo na kuwe na kulya na ŋo na kokondiri 'borik ko nyo a ko wini logon yi pukin i kulya na konda 'borik i lukata na ŋutu	e
spontaneous-speech-ukv-31640.mp3	nan tu i kadi na wini a nan tikini' wini lo lelenga kuru 'böŋ i mkök na yapa geleŋ geleŋ	e
spontaneous-speech-ukv-31660.mp3	kenda na ŋojik nawate a lewudda a duma' kuwe yi gboke ni kogboŋ köju ŋojik nawate a ruköji' yi sukulu koko todiniki' kitajin ti mede a ŋojik luwaliyan lo ruköjini' yi sukulu ama tiyana na ŋojik nawate kune keekenda jojo ko ŋojik luwaliyan	e
spontaneous-speech-ukv-31686.mp3	ret lo yola momoke i ŋutu lo yola konu nyoga wo a ko mugö kutuk yala rerenŋö na i lo re bgoŋ a mata na winiko lo lelenga kilo kuru ti lo jonda yola kilo	e
spontaneous-speech-ukv-31691.mp3	ŋo togeleŋ nagon nan kokon ko nan a ŋien ki kune a ruguŋöki kuwe i kadi yu a nan kwakwadi kwakwadu tikinda ŋun tinate i gaju na man i lukata na tukwaje	e
spontaneous-speech-ukv-31707.mp3	mede niyo a morju i bgoŋ i pirit nageleŋ i tiga na togolonyon ti puö na kenda na i konda na kita i pirit na geleŋ ko riŋit anyen puweni gurustöt na ropni ŋiro i sukulu	e
spontaneous-speech-ukv-31730.mp3	ŋo logoŋ perok liŋ tikinda ŋutú böböŋöji i kikolin i yuganda ni kulo a birö na ŋojik lo'di'dik iy kiko a ko 'dogu na töri lo 'bijo i pipiki	e
spontaneous-speech-ukv-31739.mp3	ye kaaŋ gboke ni ŋutuu kulo si'da a lo'but ko kule' ŋutuu ko kulo gboŋ ko toyiŋakin ko 'börik ko tuŋarakin ko 'börik i ŋo' ka'de ka'de nagoŋ pupujö iya ŋutu' kayit mede yu kaaŋ gboke ni	e
spontaneous-speech-ukv-31747.mp3	nan nyanyar rinö lo yolo ko kuku ko kogboŋ nan yiyiŋ koŋe lo ri lu ko turukindö nan nyo ŋariyesi' nagoŋ nan 'dok pupuun yi ri kata yu	e
spontaneous-speech-ukv-31770.mp3	nan bubulö tononga na miyen perok ti yapa ko möju na wini lo tononga miyen na mukök	e
spontaneous-speech-ukv-31813.mp3	yi bubulo rerengu na reto lo moga 'böriköt kulo ko kuö i diŋitan liŋ ko jugö na bongolan a bongolan kune mokuöni mokuö	e
spontaneous-speech-ukv-31820.mp3	biresi logon ŋojik kulo kayaŋ yi bgoke ni nyarnyar birö parik kulo a gboja na kura a ko toŋga na lumurut	e
spontaneous-speech-ukv-31856.mp3	i 'dutet na lakat nan tu i kenisa i kwakwadu nan yiteni i lukata na 'baŋ i yukan	e
spontaneous-speech-ukv-31877.mp3	ee nan yinga na'but i momora ko ŋutuu lo luduk a gbeji' yojulin ko ŋutuu lo luduk	e
spontaneous-speech-ukv-31885.mp3	kpiyesi na kpeja di ŋutu bgoŋ ko rima na jore a yukuta a ko dure di wulek	e
spontaneous-speech-ukv-31898.mp3	ŋarakinda ŋutu loŋ kadodinanit a pondi todindö na ŋojik lo 'dik'dik loŋ 'bak kurundö ŋo nagoŋ koko 'bak ko den	e
spontaneous-speech-ukv-31913.mp3	ala yee nan ko pusök na jujumbu na keriyat ka'de ka'de	e
spontaneous-speech-ukv-31928.mp3	walayi' ŋo' nagon nan nyanyar konda parik na a nyesu	e
spontaneous-speech-ukv-31955.mp3	kinyöjin loŋ nan tögu 'börik ko se kulo a janjaro liserit a ko burusut	e
spontaneous-speech-ukv-31967.mp3	Katelok ko smot nan dok a kinyojin lo ŋaŋarakinda ŋutu' luwalet lo yi yuŋö	e
spontaneous-speech-ukv-31975.mp3	gurusutöt niyo' naŋ nan pujö nye na a na'dit 'nde'ya kadi	e
spontaneous-speech-ukv-31991.mp3	ko ŋiro lo yeyesu 'bura ko kamulak na'but ŋo liŋ	ere
spontaneous-speech-ukv-31997.mp3	ye kimaŋ lo waya kata kaŋ i bgwoke ni	eie
spontaneous-speech-ukv-32001.mp3	mata na piong nagon a ko dera	e
spontaneous-speech-ukv-32008.mp3	Kenda na ŋarakinda ŋutuu kode' mede niyo' yi pujö na ŋo' nagon nan a petakin na ko nan wejale weja konda na kita nagoŋ nan ŋaŋarakindi 'barik ko nan 'dok metemet di gairet nagoŋ nan a jon i loki na kenda i jur na a na'böt	e
spontaneous-speech-ukv-32022.mp3	ņa ŋaŋarakinda ŋojik na'didik nagon gwe'de ko ŋojik kune yi si'daki kak ti koko gwe madaŋ yi tiju na ŋojik logon ŋun a tikin se kilo kp köti koko gwe ko metesi nagon ti koko köti konekon kita na könin na kogon kotumalu ŋaŋarakinda 'barik	e
spontaneous-speech-ukv-32035.mp3	kitaesi' ti kenda na gboŋ kaaŋ yi gboke kune a ŋarakinda ŋoji lo'di'dik ko lo wora yi gboŋ ko todinesi na'but na to'dureni ŋojik yi lukata na gboke ko pujö na wini yi kiko' lo'but ko kune' kulya a 'dukin yi lukata na ŋutulu	e
spontaneous-speech-ukv-32038.mp3	yi bubulö teŋgu na ret lo 'bulötö yi riyara' ko lalaju na könisi diŋitan kune liŋ ko sobun ko ŋutu' po yi soron kode' ko do lalaju ŋutu lo 'bu'bulötö ko köti ee yesu na ŋo' logon pape ko muggö na kinyotot	e
spontaneous-speech-ukv-32045.mp3	'busan na suwe na ŋutuú ko kilo winikä na gaju ŋutú i moka na reto logoŋ kega parik ŋo gboso reto lo moga ŋutuú na wate i piritän ti gbakiyat ti mokosi	e
spontaneous-speech-ukv-32051.mp3	nan tiju 'börik ko mede nio anyen gboŋ a moka ko malaria i kikölin ka'de ka'de togeleŋ mede na ŋutuu kulo liŋ toto i tandaruajin kata tomirek piöŋ nagon liliwatu i diliö ko i supalan 'di'diya kaŋo tomusala döru lo gboŋ i borni kulo 'bitö kaŋo	e
spontaneous-speech-ukv-32057.mp3	ŋutu na tutunogu na kodo nyesu kinyöjin logon goŋ ko piöŋ kata bgoso suruba ko yuret katani anyen tikinda le ko ti moji ŋo nagon na yuyuk anyen tinda le	e
spontaneous-speech-ukv-32063.mp3	jujuwesi' nagoŋ um ŋaŋarakidi i lo kayuŋänit lo a kiko logon ilo kayuŋänit ti todiniki ŋiro kulya ti kwakwadu anyen ŋiro lo kukujena ŋun a tomurek jujuwesi' kune' nagon 'ntitikin kune aa gboŋ ko julin lo'but logon a joŋadu lepeŋ i pirit naron	e
spontaneous-speech-ukv-32067.mp3	kenda a lwogu i jonda na moret ko toyiŋakin kayaŋ i gboke ni kogboŋ ŋutu lo kenda kulo deneden ŋo na'but ko ŋo naron a koko 'dok gbe kata ko yeiyesi ti ponda pirit nageleŋ i gboŋ ko petesi na'but na to'duröni jur ko gboke lose lo	e
spontaneous-speech-ukv-32070.mp3	sukuluöt ti jur ko petesi ti kenda a tikinda ŋojik ti jur i liliyunda na'börik bgoŋ a ka'dolak lo'but lo jonda taliŋ ko lo todindö ŋojik lo'di'dik i konda na ŋo na'but nagon to'dureni jur	e
spontaneous-speech-ukv-32078.mp3	ŋutu luwalet ko yiŋga lure yi diŋitan kune liŋ ti yesi ŋo logbon jonda riŋit ko lepeŋ yi mugun ni ŋo gbeŋge 'diloŋ na gbanda na mora ko maasika a ko 'döti naŋ gboŋ ko suruba	e
