audio_file	reference	hypothesis
spontaneous-speech-pne-15186.mp3	Amik pitah kelunan mipe amik tong penusah ineh tai ngan ketua kampung amik tai ngan ireh jau tuak umerk amik ineh tai pani menyuk yah pani menyuk eh barak ngan kat kelunan mipe amik tolong monak dan neh sen dan neh rigit nak kurek nak lomah pelusen jah rigit jah use ineh jalan ineh cara ayuk mani tolong menyuk amik pepipe ngan kelunan	Ak pitak keluna mipek amik tong punua neh tan na toak kameun amik tan an ireh ja tuak umu amik ineh tai panik munu yah panin munuk eh arak ngak k keluanan mi amik tolong monak dan neh sien danen nehit neh kulek nah nanmak pun si nae jan ligit peja usa Ineh dalan neh sanah ayuk manik tolong mik mani pip pen k ak
spontaneous-speech-pne-15191.mp3	Akouk kira'k yeng yeng kat barang lobuk sukat manouk kelunan bawai sekulah tetap eh pun jin tinen tamen neh eh mipe eh menyuk eh tai sekulah perajin eh sekulah berajan ineh baruwk neh mojam ineh baruwk neh rajin yeng eh jah barang lobuk	Yk kir k yeng yeng kak balang lokuk sukat manouk kelunan be ba sekuulah teta eh pun jin tinan tamen eh eh mitek eh mene u eh tai seulahk peagen ieh seulahk perae inenh bareuk neh mojam ineh barek neh ragin yeng eh jak barang u uk
spontaneous-speech-pne-15193.mp3	Dan tai melakau- tai melakau ineh ayuk tai nevalau konep sat konep yeng jian konep pane Ngan neh awu panouk nek tajak keh tai pitah yak jalan ayuk mukuk sedirik ayuk mukuk petiken Menyalau konep sat ineh konep pane ineh Ineh pukuk ayuk tai melakau	Y ta la tan lakauk na eh neh aneuk konaek sasat konak yeng jian konaek panen ngan ayu panuk nie tadai petai pita ak jan ayuk mukuk sni ayuk mukuk peita menak konek sat ineh konek panen ineh ineh puku ayik ta aak
spontaneous-speech-pne-15197.mp3	Yeng pun inak boken yah ayuk tai nyelogen ayuk mukuk tai peteken pani ngan kelunan ngan sik yah anak yah lakeik dan amik Juk petiken sumak tai lak Juk lah lak than lak tanak lak bek tai duah amuh keh toleuk use amik ineh keh tai	P pun inak bokgn ak yu uk melenlonun taei uk tai ien k panin ngah kuluna ngan sit ka ala ek au damik juk petiten sumat ta lak juk lah lak tunan ak tanak lak uleuk tai duah amuk kek tolok ke usan amik juk bani i e ak
spontaneous-speech-pne-15200.mp3	yeng pun le'terk konak le'terk eh tan kik siget langit eh bi mengase tong awa tong tilung pe'pauk ngase tong lasan Pun ate ireh main bon pun ate ireh main takraw ineh peh bareng de'kuk ireh lalek mojam	A pun litek konak itek eh tan kik siket lagit eh eh bi measu tong a tong ti en poe p yu mngasau tong lasan peate reh main bon patau reh manin ta keru ineh peh aran ine uk re lali ah
spontaneous-speech-pne-15202.mp3	Akuek pogeng ayuk ijin mopuk ayuk ijin- ayuk tv ayuk pon ayuk speka ayuk ineuk Jah yah boken konak tok solar ineh semua Yah ineh bii pongah ayuk kik	Yk poten ayuk ijen mojuk ayuk iji ayuk tivi ayuk pon ayuk speh ayuk inok jah yeh ban e kotn solah ineh semu a y ayik n b png ayuk ik
spontaneous-speech-pne-15202.mp3	Akeuk pongah maneuk beg pongah maneuk bukui Bukan naneuk kik tinen kik maneuk Akeuk suma manyam Keh kek borat keh kek taleik beg ineh abin vey beg vey bukui ineh pongah nanyam kik pongah neuk kik	Yk ponga manouk biek ponga manuk bukuk mkak manouk kik tinen kik manouk akouk suman manan keh kekborak kik kek talei bik ineh avik bek bek eh bukuk ineh pengan anag kik pengoanouk kk
spontaneous-speech-pne-15207.mp3	Tai lak banget ineh yeng ineh lalek jiak DeKuk neh lipag bareng sukat pelangui bareng sukat keleterk dalem dan yeng melakau dirin be'ek tuek Pun Dan neh lak be'ek be'ek ineh sukat menoset sukat pelangui dalem Bareng pun lipag neh	Yk la angin neh h yeng ineng neh lalek jiak ukuk neh likak barang sukt pelagung arakg sukt elekt pong alem dan yeng lakauk din bek toei un deh danen neh lakh bek bek ineh sukat menosat sukat elagen dalem barek un likak h h
spontaneous-speech-pne-15211.mp3	Ijin daven tv pon Kat barang ineh kebosau kik bi neh ateg neh Dekuk neh pun karen Karen ineh sukat mematai kelunan Makin inouk dan ireh anag ayuk pon ayuk tv ayuk barang ineh bi	A dadvun ti pon kak barang ineh kebosah k kik pi aneitk neh dukuk neh uk kanaen kanan ineh sukat mebata klunan akk inouk dan anag ayuk pon ayuk ti ayuk barang iyeh ik
spontaneous-speech-pne-15218.mp3	Nak pun bengosak ulouk bengosak amik tai daleh ireh roti neh yah jiak yah sukat yah mojam...ineh du'kuk neh avik tong daleh ireh niah neh set yeng eh avik daleh ireh urip kik la dalem konep kik eh jiak neh ineh...	Yk u unmogah a ulouk ngjak a amik ta lak ldaleh ireh rote neh yah jiak yah sukat yah mojam ineh neh uk neh avik tong daleh ireh iah neh sat yah avik nlah daleh ireh uret kik la daleu kponu kik eh jiak ne ek
