audio_file	reference	hypothesis
spontaneous-speech-el-CY-37427.mp3	Η άποψη μου η τεχνολογία την τελευταία δεκαετίαν αναπτύχθηκεν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινήν ζωήν των πολλών ξεκινώντας που την ιατρικ΄ην μαζίν με τες διάφορες μηχανές που μπαίννουν μόνον η βελόνα μέσα στον άνθρωπο εεε χωρίς να χρειαστεί κάποια επέμβαση τζ̆αι φτάννοντας μέσα στο σπίτιν του καθενός Εεε για παράδειγμαν οι συσκευές που καθαρίζουν μόνες τους ή η γνωστή Αλέξα που αν έσ̆εις την κατάλληλην επένδυσην σε έξυπνες στα εισαγωγικά ηλεκτρικές συσκευές μπορεί να τες λειτουργήσει με απλά την φωνήν σου ή ακόμα σε βιομηχανίες εεε όπου εργασίες παλιά έπρεπε να γίνουν που έναν άνθρωπον πλέον γίνουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλήορα εεεμ που απλά μιαν μηχανήν το οποίον όμως φέρνει μας στον κίνδυνον της τεχνολογίας ο οποίος είναι η μείωση ανθρώπινου δυναμικού σε χώρους εργασίας Έναν αρκετά καθημερινόν τζ̆αι συχνόν παράδειγμα εν' οι τράπεζες που κάθε εβδομάδαν κλείει τζ̆' άλλη	Εμοσυμεν μουνήτεχναλον γιατδην τελεφταιανδικάιτήαν αναυτι θίγανα σκε τάσεισηον ουμοίνα πε τιοσει την κάθημερινζήτον πολλο ξεγίνοντας πουτενμιαν τρική νοζέμε τε σδιά φορεις ην χανες που παεννονμονογιπελοόναμές σέίναν θροπω εέχορεήνα θεαστηι κα ιέ τεν παση τζαι ευτανουντας μέσας τους πίδηιν του κάθενοςε γιαπαλα δι μαν εσηι σκερές ου τα φαρίζουν μόν ερτους ήί ίβ νας στηα λεσα που άνεσ̆εις την κτάλελνεπέδήσή εν ψιπννες στα α ογι κάλε τρικες σεισκέες μποι να τες λη τεήση να πλά την φονήσιυ ήακό μα επομιχαεεςε ό που εργάσει ες παλιά επρεπενναγίνουν το ναναν σρπου πλέον πινουν τε πολλά ποια ποτελες μα τιτά τζ̆αι πουλλά ίορα ε πο απλάν μιαν μιχαί  τοποοννο μο ερνημα στον τυν διον τις στεχνολογίας οποίος η εην μουιασ νασρπινοδη ναν ι κούς σεχώόρουερκάσίαςεναν άρκει κάγαθυμαίτηννον τζ̆ις υχνον παράδιμα εν ήι τραπεσζε που κάθειν γομαγαμ κολι τζιάλλι
spontaneous-speech-el-CY-37434.mp3	Δυστυχώς πάνω σε τούντο θέμα εν κατεχω πολλές πληροφοριές λόγω του ότι τζ̆αι ο παππούς μου τζ̆αι η γιαγιά μου που τη πλευρά του παπά μου δηλαδή στη Κύπρο επεθάναν πρίν γεννηθώ Αλλά που τζ̆ίνα που ξέρω με βάση άλλους στην ηλικία μου ξέρω οτι λόγο του πολέμου και τα λοιπά δίνουν μεγάλη έμφαση σε τούντο θέμα Δηλαδή θ΄ελουν να διασφαλίσουν οτι οι πιο μιτσ̆ες γεννιές εν να θυμούνται τζ̆ίνο που έγινε	Εενδήστιχως πανο επυύντο θμαν ενκάτεχω πολλες ουλερούφορίές λο κυντοτί τζ̆αι βα πωζειμου τζ̆αι κγαγιά μου πουτην πλεβράν τ ποπάμου δηλαβις στην Κιπρό εν επεέθαναν πρι γεννιθέ ε αλά που ταιν νο πξεραν μεβάσιν αλλος στηνολικιαν μου ξερω τι λόων του πολε μο κε ταλιπά δηννον δίούν μεγάλημέρφάσι πάνο σε τουν το θέμα διλαδί ελούυννα διας φαλίσυνοτι ππιομειτσ̆ες χνίζεν να θημουντει τζ̆αινον πογινεΕ
spontaneous-speech-el-CY-37442.mp3	Στον τελευταίον εργασιακόν χώρον που εδούλευκα εκάμνασιν εκστρατείες μιαν φοράν κάθε εξάμηνον ή μια φοράν κάθε τρίμηνον όποτε εχρειάζετουν τέλος πάντων τζ̆αι επηαίννασιν σε δημοτικά ή κυρίως νηπιαγωγεία τζ̆αι εκάμνασιν ανακαίνισην των αίθουσων στο κτήριον τζ̆αι εχρειάζουνταν εθελοντές κάθε φοράν οπότε είχα δηλώσει συμμετοχήν τζ̆αι επήαμεν εφκάλαμεν ούλλα τα έπιπλα που την αίθουσαν διδασκαλίας των μωρών τζ̆αι εκάμαμεν την ανακαίνισην του χώρου με την βοήθειαν τους	Εστόν τολευτέν έραγασιακο χθωρών πο δουλλέφκά κάμνασνιτρατις μιαν φρανκαθεξαμίον ή μιαν φρανάαθε τρεμενονο ποτεν φριαςζε τον τελοσπαντον τζ̆αι πίαννασις σε δημοτικά ιι κεριος νη πια πογίαν τζαι κάμνασεινανακενήσιν τον έσουσ̆ιν  στο χτρίο τζα χρειαζουν τανεθελοντες  κάθεφωνα  πτε ήθχαδηλόόσήσημε τοχι τ̆αι πιαμαν υκαραμεν λδτα πι πλά που θυίν έθυσ αδήίτα καλγιας στον μρον τζ̆αι καμομεν πρλείπενανακενίσεν τ χόρο με τη βήθιαν τος
spontaneous-speech-el-CY-37445.mp3	Προσωπικά αρέσκει μου πολλά το χρώμαν πράσινον μια συγκεκριμένη απόχρωση του πράσινου το κυπαρισσίν το οποίον χρώμαν αρέσκει μου παραπάνω να το βλέπω ή να αγοράζω αξεσουάρ με το χρώμαν τζ̆είνον Όσον αφορά για άλλα χρώματα που μ' αρέσκει να έχω στον προσωπικόν μου χώρον αρέσκει μου το καφέ το μπες̆ εεε τζ̆αι το μαύρον Αυτά	Εο α πικάρε κι μου δάλ βολλά του χόμαν τράσηνο μια ση κεικενι απο χρέσει του πράσηνον τα κιβαλσήν ε τοβίιε χρο μανν αρέσκεμου γαρα πάναν τον δλέπου ή να α ποραζα ξές οά μει ταν ρομαντζ̆εινα όσανα φορά ιααλλα χρμα τα  δημαρέσκι  να ειφόςςτον προσ̆ει πυ κο μυ θώρειον αρέ σκι μου το κάέ το πές  ε νε τζ̆ει τομαροον  στα
spontaneous-speech-el-CY-37447.mp3	Λόγον έλλειψης χρόνου θεωρώ εγώ ότι οι τεχνολογικές εξελίξεις που εννά εβελτιώνναν την δικήν μου ζωήν εεεμ εννά ήταν τα αυτόματα ήδη καθαρισμού όπως η σκούπα η εννοώ η ηλεκτρική σκούπα που ξεκινά μόνη της ή κάποιον πλυντήριον πιάτου εμ σίουρα τζ̆αι πολλά άλλα απλά τούτα μπορώ να σκεφτώ	Ελά γονα λλξεισχρώνου θερώ γώ ότη τεχνολοηγεές εξελξις που εννα έπελ σπιον ναν τηντικήμου ζωί ε εννα ήτανα θτομαδα ηδικαθάζιζμου οπως  ήσκουπά ή εννομιιλλε τριγήσκου παπξεκιναμονήτις ή κάποιο οιτηρονκιά του ε συιρα ζ̆ι πολλάλλά ππλά το ταν ποράσκευτ
spontaneous-speech-el-CY-37461.mp3	Τωρά όσον αφορά ραντεβού με γιατρόν αννέν' κάποιος ειδικευμένος γιατρός πρέπει πρώτα να μιλήσεις μαζίν με τον προσωπικόν σου γιατρόν αννέν' μέσον του ΓεΣυ Αν δέννεν' μέσον του ΓεΣυ πιάννεις απευθείας τον εξωτερικόν γιατρόν αλλά στην Κύπρον πρέπει να επικοινωνήσεις πρώτα μαζίν με τον προσωπικόν σου γιατρόν να πάεις να σε δει τžι αφού σε δει τžι επιβεβαιώσει ότι όντως έσ̆εις κάποιον θέμαν το οποίον εν ι-μπόρει να λύσει ο ίδιος τότε γράφει σου παραπεμπτικόν τžαι πάεις στον γιατρόν που θέλεις	Εοραόσωμαν θορα εράν τε ου μειγιατρώναννεν κάποες δικενυμενοζ γατρώς πρεπι προυταμε λίσης μαζινον προύσειπου ποτς σο γιατροναννεν μέσον τοιγεσί αδαννα μέσεν τοιγέση κιαννείς α πυςθθίας στον ιξο τε ρικογιατρο αλλά  στη Κυπρν περέπι  να επικιρονίσεις πράτομαζημοεν προσει πηι  ζ̆ει γκατρο να βπάέίς νασεδήν τζ̆ι φουσεδιήτζ̆αιπιβεβέοσειτιόντοσε σ̆εις καποιν θεμντο ποιον έν ην ποζη ναλήσιοήδίος το τεγραφισιποραπετικόν τζ̆αι πάις το για τρο πουθέε
spontaneous-speech-el-CY-37464.mp3	Η δημόσια παιδεία στην Κύπρον έννεν' η καλλύττερη γενικά λείφκουνται πολλά πράματα για να θεωρηθεί ότι παρέχει μιαν σφαιρικήν παιδείαν στους μαθητές αλλά όσον αφορά στα κτήρια επειδή στην περιοχήν που μεινίσκω τωρά εν' λλίον πιο εεμ σύγχρονα σίουρα σαν κτήριον εν' πολλά εντάξει	Εήδημοσει α βεδιάς τυν γκυ προν εννεν εκαλλτερίν γεννικά τ λειύκονταε πολλά πραμα τα γιανα θεωρίσιτη παρέχυμοια σφέρικίν παεδία σους μαθιταές αλλά όσονον  φορά σταχτηρία βειτί στην πέρεχει μπουμενε σποταρά ελιονπιοε σιχρόνα σει ορας σαν  χτηριον εν πολλά εντασιν
spontaneous-speech-el-CY-37468.mp3	Μιλώ τέσερις διαφορετικές γλώσσες οι οποίες εν' Αγγλικά Ελληνικά Ρωσσικά τζ̆αι λλία Γαλλικά Τα Ελληνικά που μαθαίννουμεν στο σχολείον αλλά τζ̆αι τα Κυπριακά λόγον της κοινότητας τζ̆αι της χώρας Τα Ρωσσικά επειδή εν' η μητρική μου γλώσσα τα Αγγλικά που το φροντιστήριον τζ̆αι το ίδιον τζ̆αι τα Γαλλικά	Εμιλοως ε τε θεριζεφοτιγχες ολόο σές σι γεπίες εν αν γλικά ληνικά ροσσικά τζ̆αι λλια γαλλικά ε τελλυνκά πουμανθεννουμεν στος χολλίοναλλά τζ̆αι τα κειπριακά λογον τεισκευνοδιτας τζα τισχρας ταρο σι κάπειδίενη μήτρκήμουγλοςσα ταεν κικά πουτον φιονστεριο τζ̆αι τα ήπεν τζαι τα γαλλικάΕ
spontaneous-speech-el-CY-37469.mp3	Τα Χριστούγεννα συνήθως εννά κάμουμεν αρκετά παραδοσιακά φαγιά τζ̆αι που τες θκυο κουλτούρες δηλαδή εννά κάμει τζ̆αι η μάμμα μου κάτι παραδοσιακόν αλλά επίσης εννά κάμουμεν τζ̆αι σούβλαν ή σουβλάκια Αλλά το΄υτον εχτός που το τραπέζιν εν καμνουμε κάποιαν άλλην δραστηριότηταν τα Χριστούγεννα	Ε τα χριστεγαννα συννήθως εννακάμουμεν αρκετα παλαδεσια κάφαγιάο τζ̆αι που τζεσκιε κουρλτουρές δήλαδεν να κάμει τζ̆αιμα μναμυ κατη  παρο δο σ̆ικων ναλλάεπίση σεννα κάουύμεν τ̆αι σούγλάν ισουβλάκιάν αλλά του τονέχτος πο τραπέζινεν καμνου μεν κάποιανάλλιδρε σθερίοτηταν ταχρειστιενναν
spontaneous-speech-el-CY-37470.mp3	Θεωρώ ότι για να μπορούσεν να καταφέρει έτσι πράμαν η παιδεία τζ̆αι γεννικά τα σχολεία εννά έπρεπεν να ενσωματώσουν μαθήματα ευαισθητοποίησης των μαθητών αλλά τζ̆αι κυρίως να υπενθυμίζουν στους γονιούς πόσον σημαντικόν ένι το να έχουν μιαν παιδεία στο σπίτιν	Εθέρώ τι γιαναν ποροσ̆εν να κατα φεριετη πραμαν η παεδια τζ̆α γεννικάτος χολια εννα επρεπεννά έσ̆ωματό οουν μα θιματα βές σθιτοπίσεις τν μαθιτόν αλλά τζαι κεριωςνα πένθυμίζουνς ζους γον ιος ποσο σιμαντηκκόνενι τοννα έουμιαν παεδίας συ σπίτηΕ
spontaneous-speech-el-CY-37471.mp3	Εξαρτάται που το πόσον κουρασμένη εννά είμαι την συγκεκριμένην μέραν εεε συνήθως άμαν πάω περπάτημαν εεε πάω γιατί νιώθω πολλά κλειστή μέσα στο σπίτιν εεεμ ή επειδή θέλω έτσι λλίον καθαρόν αέραν ή θέλω κάποιον να- κάποιον διάλλειμαν	Εέξαρτά τε που το βοσωννε κπορςμινήνναήμεν  τε σγκικρημενημέρα εσυνουύδοςσαμον πά περφπάτιμάν ε πάγογε τήιν ιο θω πολλάκί στημεθας τους σπίτην  ί επιδη θελο ετσελλιον καθαρονα έράν ήθελόκάτοιον να καποιονδιάλι μαν
spontaneous-speech-el-CY-37472.mp3	Πλέον τα μωρά στην κοινότηταν εν παίζουν τόσον όσον πιο παλιά πιο παλιές γενιές εξωτερικά Μεινίσκουν σπίτιν τζ̆αι συνήθως παίζουν ηλεκτρονικά παιχνίθκια που συνήθως πιο παλιά επαίζαν τα πιο μεγάλοι ηλικιακά	Ελλεδον τα μοράστεν πινότηταν έν πέζ̆ουνν τοσων όσον πιο πογιά  πιοπαγες κινες έξω τερικά μειν ής κουσπίτην τζ̆αι συνήθως πέζωονου λεχτορε ει κάδεχνειθκιανε που συινήσως πιο παγια επέζαν τα πιο με γάλ κιακάΕ
spontaneous-speech-el-CY-37473.mp3	Να μάθω να παίζω κάποιον μουσικόν όργανον απλά δυστυχώς εν έτυχεν ποττέ Το μόνον πιο κοντιν΄ον πράμαν που έχω σε τούντον τομέαν εν' το ότι τραγουδώ κάποιες φορές στον ελεύθερον μου χρόνον	Ενα μαθονα πέζα γάποιο μο ε κονορθανα αν να πολά δις θτηχώςεν εν χυ ποτέ ε τοον μουννον πε κον τηνόν πρααν πουέχοσε τουύ τεν τομίια εν τοτη τέραγουδο κάπκεί κορέσενα ευθρα μοχρον
spontaneous-speech-el-CY-37474.mp3	Φυτά που μεγαλώννουν εύκολα στην Κύπρον συνήθως εν' φυτά τα οποία εν χρειάζουνται πολλύν νερόν λόγον της ξηρασίας που έχουμεν όπως τους κάχτους ή τα παπουτσόσυκα που 'ντάξει το παπουτσόσυκον εν' το φυτόν του κάχτου εεεμ οι φοίνικες αυτά	Είτάμύμαγατδούννευκολλα στην κιπρο σηινηδες εφιτάτα πβια έ χριαζουν τε πολλιν νέρώ λογοντεις ερασιας που έχουμέν δηλαδήεπο του σκάτους ήταπαουτσ̆ιώσιγά που ταξεπάπτσα τσεικονεν το φίτον του κάχτο ε ήφίνικές φτά
spontaneous-speech-el-CY-37475.mp3	Προσωπικά αν εχρειάζουμουν δικηγόρον για κάτι εεεμ όπως έτυχε τζ̌αι μιαν άλλην φοράν έψαξα το στο ίντερνετ το θέμαν το οποίον εχρειάζουμουν τον δικηγόρον έφκαλεν μου αρκετά δικηγορικά γραφεία τζ̌αι επικοινώνησα μαζίν τους τζ̌αι απευθύναν με σε κάποιον ειδικόν	Ερο σο πικάν ε ρειαζουμοτινκειγόρον γιαγάτιν ε ο ποσεδηχεν τζ̆ι μιανάλλην φορά εψαξάτο  στοηντερννέτ ο θέμαν το ποιον έ χριάζομου τον δηκεγουν νευκαλεν μοσκιτάδι γι γορικαδαράφία τζ̆αι πικινον εσαμδζεν τους τζ̆ι πετηναν μέ ε κάποιον ίδικό
