audio_file	reference	hypothesis
spontaneous-speech-hch-31312.mp3	Ne nemaama tukaarieya mayéʼa ʼaixɨ nepɨrekaʼerietɨya nepenekatemaawíetɨya haitɨari paɨ mepɨkateʼuhukai ʼariké ke ri ʼiikɨ kiekari ya ʼaneme pɨtiʼatɨa hiikɨ ya tepɨteʼuhu hiikɨ tukaari tepuweewíxime Paɨ xeikɨ́a	Ne nemaamatukari maye'a ʼaixɨ nepɨreka'eríetɨa nepenekatemawíetɨya ne 'aitɨari pɨ mepɨkateuhukai e 'ʼariké kie ri 'iikɨ kiekari ya'anemepɨti'atɨa hiikɨ ya tepieuhuhikɨ tukari tepuweewixɨ pɨɨxɨ
spontaneous-speech-hch-31313.mp3	Ne neki nepɨtaweewieni waɨká pɨtiuyɨne ʼɨxá nemɨtihuná haku nemɨkɨʼɨni nemɨ... nemɨranakawɨtɨ́axɨani maana nepɨtakiní ʼenepɨreuteeré Paɨ xeikɨ́a	Ne neki nepɨtaweewieni waɨkápɨtiuyune xa nemɨtihuna haku nemɨkɨ'ɨni nem.. nemɨpɨranakawɨtɨaxɨení maana nemɨtakiini 'aneɨreuteere paɨxeikɨ
spontaneous-speech-hch-31314.mp3	Hɨ tepɨkatemate teiwari mɨtiweewie eh mɨɨkɨ taweewiya rixɨ́a tepɨteʼakumaté eh ne nepɨtimate ʼetsiwa ʼɨpari nemutaweewíeni nepɨyɨwe y luego kuuka nemutatsaaní nepɨyɨwe Paɨ xeikɨ́a ejem	hu tepɨkatemate teiwari mɨtiweewie mɨɨkɨ taweewie hɨríxɨ tepɨte'akumate e ne nepɨtimateetsiwa hɨpari nemutaweewie nepiyɨwe e 'iluawu kuka nemutatsaní nepiyɨwe paɨxe
spontaneous-speech-hch-31315.mp3	Taxaɨtá tepukutetɨkatei méripai tɨ hiikɨ ri ʼaxeikɨ́a tepukutetɨka kiekari teutawauxɨaka hiiki ri maana niuki tepexeiya ri hiikɨ paɨ pɨtiʼane hiikɨ	Taxaɨtá tepukuteatɨka teiméripai tɨ hiikɨ ri ʼaxeikɨtepukuteatɨka kiakari teʼutaawauxɨaka hiikɨrimaana niuki te tepexeiyaríikɨ paɨpɨtiʼanehikɨ
spontaneous-speech-hch-31316.mp3	Ne neteukari pɨtiutakwiinixɨ kwiiniya pikuwi eh eh haiyá peukunexɨa eh yumuʼutsíe maana ya puyɨ pɨratɨmai	Ne pneteukari ɨtiuta kwiinixɨ kwiinia pikuwi e haiyápeukunexɨa  yumuʼutsie maana yapɨhuyiɨ pɨraʼatɨmai
spontaneous-speech-hch-31317.mp3	Ne teyuʼuayémawaamete nepɨwamaakákai ʼariké ke ri tepuyutauni mmm tetekukuuyetɨ ʼaana ke ri te... teputiʼuayemarie	Ne teyuʼuayemawamete neɨwamakakai ʼarike kie ri yepuyutauni tetekukuyatɨ ʼ'aanakerite teputiʼuayemari
spontaneous-speech-hch-31318.mp3	Mɨɨkɨ nepaapa pɨneutiutiʼɨkitɨa wátsiya ke mɨtiwátsitɨre ke mɨtiweewiwa ʼɨpari mɨɨkɨ pɨnetiutiʼɨkitɨa nemɨtimaatenikɨ ta waníu ne mɨpaɨ	Mɨɨkɨ nepaapa pinetiutiʼɨkitɨa watsiya ke mɨtiwatsitɨrex ke mɨtiweewiwa ʼɨpari mɨɨkɨ pinemɨtiutiʼɨ́kitɨa nemɨtimatenikɨtawanune mɨpa
spontaneous-speech-hch-31319.mp3	Méripai tɨ kiekátaari muxá ʼɨkariyari mepɨweewíekai kamixayari memɨteweewíekai ʼaana mɨɨkɨ mepɨteʼanakapitɨkatéi paɨ mepɨʼánenekai ʼaana Mɨpaɨ	Méripai tɨkiekataari muxáʼɨkariyari mempeewíekai camixayari memɨteweewíekai 'aana mɨɨkɨ meptaanakapitɨkɨ́atei paɨ mepɨʼanenekai 'aana mɨpa
spontaneous-speech-hch-31320.mp3	Takie 'uuximayátsika pumawe wixárika ʼikuwaunétɨ ʼuuximayátsika kiekaritsíe ri pɨyuhayewa xɨka takie xuawenike ʼuuximayátsika ʼuuwa tepuʼuuwánike	Takie 'uuximayátsika pumawe pixárika 'ikuwaunetɨ ʼuuuximayátsika keekaritsieri yuayewa xɨka takie xuawenike ʼuuximayátsika hua tepuʼuanike pɨxɨ
spontaneous-speech-hch-31321.mp3	Ne nekie nepanutɨa eh ʼixɨarari nepekuweewíetɨya muuwa nepeneʼiiriki eh eh ranierekaku 'ayumieme tepɨteʼayeʼatɨwa Paɨ xeikɨ́a	Ne nekie nepanutɨa  'ixuararinemene nepekuweewíetɨyamuuwa nepene'iriki e  xanierekaku hayumieme tepeaya'atɨa paɨxe
